traj,method,dJ_raw,det_vs_M0,et
vi,M0_raw_p2p,0.0066167326782139,0.0,166.5644951455401
vi,M0_raw_p2p,0.0063722179545896,0.0,170.080156484676
vi,M0_raw_p2p,0.0061070441420806,0.0,169.4337840948769
vi,M0_raw_p2p,0.0065749455602028,0.0,174.49178267631422
vi,M0_raw_p2p,0.0055605642779501,0.0,165.5716985880463
vi,M0_raw_p2p,0.0054184403486852,0.0,165.83326309692848
vi,M0_raw_p2p,0.0048902792182532,0.0,157.10001002110857
vi,M0_raw_p2p,0.0050327123355363,0.0,158.78378838905869
vi,M0_raw_p2p,0.0063446024318013,0.0,171.05809752922448
vi,M0_raw_p2p,0.0063778702319351,0.0,171.48020920575064
vi,M0_raw_p2p,0.0064933188816309,0.0,173.00843258092084
vi,M0_raw_p2p,0.0070235562435125,0.0,176.14123755856463
vi,M0_raw_p2p,0.0066878982765334,0.0,174.27115266137977
vi,M0_raw_p2p,0.0056888618414277,0.0,165.91727412863062
vi,M0_raw_p2p,0.0053307490724839,0.0,159.2311359614502
vi,M0_raw_p2p,0.0047045590675636,0.0,154.2334710388763
vi,M0_raw_p2p,0.0051310742470692,0.0,159.51733986491897
vi,M0_raw_p2p,0.0053440156163126,0.0,165.15891266490954
vi,M0_raw_p2p,0.0052508372038803,0.0,166.9593868323557
vi,M0_raw_p2p,0.005750184339793,0.0,169.93148012513444
vi,M0_raw_p2p,0.0059125276181327,0.0,174.83160258803946
vi,M0_raw_p2p,0.005883043166718,0.0,173.27841526841158
vi,M0_raw_p2p,0.0056577418214279,0.0,167.310165979794
vi,M0_raw_p2p,0.0056982206392399,0.0,166.8503087931298
vi,M0_raw_p2p,0.0055605757856404,0.0,163.45474572980507
vi,M0_raw_p2p,0.0051412915140973,0.0,158.11114558873066
vi,M0_raw_p2p,0.0057868155099167,0.0,165.33065612602093
vi,M0_raw_p2p,0.0058166877382358,0.0,165.99884288179572
vi,M0_raw_p2p,0.0065133783591403,0.0,171.92132600705872
vi,M0_raw_p2p,0.0061838162952574,0.0,168.59092057530876
vi,M0_raw_p2p,0.0066779750101309,0.0,174.3921906232281
vi,M0_raw_p2p,0.0065227000520842,0.0,174.0074545379087
vi,M0_raw_p2p,0.0061964597928973,0.0,172.592187034783
vi,M0_raw_p2p,0.006064211166662,0.0,171.88605070046552
vi,M0_raw_p2p,0.0053940836852911,0.0,165.0725285519483
vi,M0_raw_p2p,0.0058103174519938,0.0,170.51316487948654
vi,M0_raw_p2p,0.0063653182133348,0.0,174.7263179279266
vi,M0_raw_p2p,0.0070640439283545,0.0,180.8345412964696
vi,M0_raw_p2p,0.007092334333555,0.0,181.7616946850981
vi,M0_raw_p2p,0.0070820048003026,0.0,180.80941721024192
vi,M0_raw_p2p,0.0070003784014593,0.0,179.8432803735201
vi,M0_raw_p2p,0.0068333082176191,0.0,177.5215198557649
vi,M0_raw_p2p,0.0064384157495031,0.0,174.91936687287313
vi,M0_raw_p2p,0.0058966239232437,0.0,170.1190241095422
