trajectory,order,kind,idempotence_P2_rel,normal_eq_resid_rel,pjw_identity_abs_diff_mm,factor2_grad_maxdiff,fd_step_vs_cached_maxdiff
II,265,p2l,1.4455526795145514e-14,4.707460563076539e-16,1.942890293094024e-13,0.008291317855186348,0.0
II,266,p2p,3.584776790343417e-15,5.549069902917216e-15,1.734723475976807e-14,7.974219446852185e-05,0.0
II,266,p2l,1.4395381502186624e-14,4.499132541263083e-16,1.942890293094024e-13,0.004663247801135208,0.0
II,267,p2p,4.116210394958733e-15,8.092974627031501e-16,3.469446951953614e-15,0.0001276879692582479,0.0
II,267,p2l,9.403338273383819e-15,4.874317449915522e-16,1.2836953722228372e-13,0.002027575537991581,0.0
II,268,p2p,3.694107887432385e-15,6.42604550174529e-16,6.938893903907228e-15,0.00016357670283242802,0.0
II,268,p2l,1.7812582732189707e-14,3.617802943109881e-16,2.636779683484747e-13,0.012763233578193141,0.0
II,269,p2p,2.703904232065057e-15,5.909265619914176e-16,6.938893903907228e-15,0.0001203875718892777,0.0
II,269,p2l,1.6177249271198717e-14,6.007032583739476e-16,2.42861286636753e-13,0.015487124455246061,0.0
II,270,p2p,4.817157949438884e-16,6.472954055688551e-16,3.469446951953614e-15,8.781274428647495e-05,0.0
II,270,p2l,1.625552164902337e-14,6.831881610057392e-16,2.0816681711721685e-13,0.002128046708084097,0.0
II,271,p2p,3.771272760341629e-15,4.740137998908158e-16,3.469446951953614e-15,0.0002165090093904933,0.0
II,271,p2l,1.1161940808429327e-14,1.8837975684022682e-16,2.0122792321330962e-13,0.010378280821571573,0.0
II,272,p2p,2.5174157323693545e-15,1.2177662065239418e-15,0.0,0.00012641022941997301,0.0
II,272,p2l,1.4814211557206007e-14,2.447372971458569e-16,2.3592239273284576e-13,0.014222206574258139,0.0
II,273,p2p,5.7932773120404674e-15,5.912650782613721e-15,1.0408340855860843e-14,0.00019495645086397483,0.0
II,273,p2l,9.488610687558548e-15,3.219071916172211e-16,1.6653345369377348e-13,0.006256205889256728,0.0
II,274,p2p,1.6368690282048655e-15,4.172391637456637e-16,0.0,5.9019791127448706e-05,0.0
II,274,p2l,1.4443775112225244e-14,4.673167330301008e-16,2.220446049250313e-13,0.023654948004712555,0.0
II,275,p2p,3.696771768932714e-15,7.931609072732744e-16,1.3877787807814457e-14,5.7043354394908496e-05,0.0
II,275,p2l,1.5311238019341103e-14,5.439547375846746e-16,2.8449465006019636e-13,0.02123257733006765,0.0
II,276,p2p,1.804797290565122e-15,4.669935502352533e-16,3.469446951953614e-15,0.00023500137023833682,0.0
II,276,p2l,1.372048373785068e-14,2.0017620917996055e-16,2.706168622523819e-13,0.029008197477063208,0.0
II,277,p2p,1.2500492128952065e-15,5.048322616863146e-16,3.469446951953614e-15,9.412458226719898e-05,0.0
II,277,p2l,1.504941911623415e-14,3.8135629774685265e-16,3.0531133177191805e-13,0.00834787656173423,0.0
II,278,p2p,9.316651393319195e-16,3.4788591398166135e-16,6.938893903907228e-15,0.00012629874263844418,0.0
II,278,p2l,1.1219581238024681e-14,5.702178160803207e-16,2.3592239273284576e-13,0.022027826061380974,0.0
II,279,p2p,3.760441158240679e-15,5.003928004441235e-16,6.938893903907228e-15,6.725618508201863e-05,0.0
II,279,p2l,1.436548845795877e-14,4.127669878496438e-16,2.7755575615628914e-13,0.01617279869948345,0.0
II,280,p2p,1.3047196277560371e-15,1.446941144640425e-15,2.0816681711721685e-14,0.00011275728123363339,0.0
II,280,p2l,1.2903720780279548e-14,1.3955170806979202e-15,2.706168622523819e-13,0.037230553140129026,0.0
II,281,p2p,4.290187735672501e-15,4.953132721709606e-16,6.938893903907228e-15,8.836798934281492e-05,0.0
II,281,p2l,9.826621885037876e-15,4.2159573522326644e-16,2.42861286636753e-13,0.022545134130595168,0.0
II,282,p2p,4.110341473168661e-15,4.236178448350438e-16,0.0,9.331395049236302e-05,0.0
II,282,p2l,1.1847307132401305e-14,1.0432598935453266e-15,2.5673907444456745e-13,0.01308710404851936,0.0
II,283,p2p,2.5007449071470676e-15,6.597685852283035e-16,6.938893903907228e-15,0.00024121455421232708,0.0
