experiment,scope,level_or_fold,method,metric,value,note
E1,VI,L3,Patch,eR_med,4.486046,
E1,VI,L3,Patch,captureA_rate,0.0,
E1,VI,L3,Patch,captureB_rate,0.0,
E1,VI,L3,Patch,safeguard_rate,0.0,
E1,VI,L3,Patch,itercap_rate,0.725,
E1,VI,L3,Patch,numfail_rate,0.0,
E1,VI,L3,Patch,PatchRaw_gain_t_med,44.583865,
E1,VI,L3,Patch,PatchRaw_frac_pos,1.0,
E1,VI,L4,Patch,et_med,115.486139,
E1,VI,L4,Patch,eR_med,4.358984,
E1,VI,L4,Patch,captureA_rate,0.05,
E1,VI,L4,Patch,captureB_rate,0.0,
E1,VI,L4,Patch,safeguard_rate,0.0,
E1,VI,L4,Patch,itercap_rate,0.85,
E1,VI,L4,Patch,numfail_rate,0.0,
E1,VI,L4,Patch,PatchRaw_gain_t_med,44.704109,
E1,VI,L4,Patch,PatchRaw_frac_pos,1.0,
E1,VI,L5,Patch,et_med,115.468688,
E1,VI,L5,Patch,eR_med,4.258581,
E1,VI,L5,Patch,captureA_rate,1.0,
E1,VI,L5,Patch,captureB_rate,0.0,
E1,VI,L5,Patch,safeguard_rate,0.0,
E1,VI,L5,Patch,itercap_rate,0.9125,
E1,VI,L5,Patch,numfail_rate,0.0,
E1,VI,L5,Patch,PatchRaw_gain_t_med,44.49126,
E1,VI,L5,Patch,PatchRaw_frac_pos,0.975,
E1,VI,L6,Patch,et_med,116.80605,
E1,VI,L6,Patch,eR_med,4.74047,
E1,VI,L6,Patch,captureA_rate,0.8125,
E1,VI,L6,Patch,captureB_rate,0.0,
E1,VI,L6,Patch,safeguard_rate,0.3,
E1,VI,L6,Patch,itercap_rate,0.65,
E1,VI,L6,Patch,numfail_rate,0.0,
E1,VI,L6,Patch,PatchRaw_gain_t_med,45.808957,
E1,VI,L6,Patch,PatchRaw_frac_pos,0.9,
E1,VI,L0,Raw,et_med,160.582481,
E1,VI,L0,Raw,eR_med,4.364959,
E1,VI,L0,Raw,captureA_rate,0.0,
E1,VI,L0,Raw,captureB_rate,0.0,
E1,VI,L0,Raw,safeguard_rate,0.0,
E1,VI,L0,Raw,itercap_rate,0.6,
E1,VI,L0,Raw,numfail_rate,0.0,
E1,VI,L0,Raw,PatchRaw_gain_t_med,45.120919,
E1,VI,L0,Raw,PatchRaw_frac_pos,1.0,
E1,VI,L1,Raw,et_med,160.547258,
E1,VI,L1,Raw,eR_med,4.342933,
E1,VI,L1,Raw,captureA_rate,0.0,
E1,VI,L1,Raw,captureB_rate,0.0,
E1,VI,L1,Raw,safeguard_rate,0.0,
E1,VI,L1,Raw,itercap_rate,0.6125,
E1,VI,L1,Raw,numfail_rate,0.0,
E1,VI,L1,Raw,PatchRaw_gain_t_med,45.037183,
E1,VI,L1,Raw,PatchRaw_frac_pos,1.0,
E1,VI,L2,Raw,et_med,160.705895,
E1,VI,L2,Raw,eR_med,4.403177,
E1,VI,L2,Raw,captureA_rate,0.0,
E1,VI,L2,Raw,captureB_rate,0.0,
E1,VI,L2,Raw,safeguard_rate,0.0,
E1,VI,L2,Raw,itercap_rate,0.65,
E1,VI,L2,Raw,numfail_rate,0.0,
E1,VI,L2,Raw,PatchRaw_gain_t_med,44.74209,
E1,VI,L2,Raw,PatchRaw_frac_pos,1.0,
E1,VI,L3,Raw,et_med,160.791947,
