panel,trajectory,x_deg,ecdf
FO,IV,26.0283,0.9359
FO,IV,26.1483,0.94231
FO,IV,26.2667,0.94872
FO,IV,26.4425,0.95513
FO,IV,27.0675,0.96154
FO,IV,27.1658,0.96795
FO,IV,27.5007,0.97436
FO,IV,27.8335,0.98077
FO,IV,28.3041,0.98718
FO,IV,28.8396,0.99359
FO,IV,32.5629,1.0
FO,IV,160.0,1.0
FO,II,1.3688,0.0
FO,II,1.3688,0.00234
FO,II,1.6481,0.00467
FO,II,4.6652,0.00701
FO,II,6.0747,0.00935
FO,II,7.2099,0.01168
FO,II,7.4312,0.01402
FO,II,8.0852,0.01636
FO,II,8.5128,0.01869
FO,II,9.3243,0.02103
FO,II,9.4569,0.02336
FO,II,10.317,0.0257
FO,II,10.6455,0.02804
FO,II,10.8624,0.03037
FO,II,10.864,0.03271
FO,II,11.0342,0.03505
FO,II,12.413,0.03738
FO,II,12.4475,0.03972
FO,II,12.8189,0.04206
FO,II,12.8354,0.04439
FO,II,13.125,0.04673
FO,II,13.4522,0.04907
FO,II,13.6582,0.0514
FO,II,13.7465,0.05374
FO,II,14.0246,0.05607
FO,II,14.1679,0.05841
FO,II,14.4029,0.06075
FO,II,14.4181,0.06308
FO,II,14.5508,0.06542
FO,II,14.6102,0.06776
FO,II,14.9474,0.07009
FO,II,15.202,0.07243
FO,II,15.3932,0.07477
FO,II,15.6103,0.0771
FO,II,15.6636,0.07944
FO,II,15.9709,0.08178
FO,II,16.2869,0.08411
FO,II,16.3972,0.08645
FO,II,16.4018,0.08879
FO,II,16.4766,0.09112
FO,II,16.5514,0.09346
FO,II,16.5553,0.09579
FO,II,16.6095,0.09813
FO,II,16.7825,0.10047
FO,II,16.8368,0.1028
FO,II,16.9574,0.10514
FO,II,16.9777,0.10748
FO,II,17.1306,0.10981
FO,II,17.2107,0.11215
FO,II,17.4729,0.11449
FO,II,17.4892,0.11682
FO,II,17.5623,0.11916
FO,II,17.6016,0.1215
FO,II,17.6122,0.12383
FO,II,17.7035,0.12617
FO,II,17.812,0.1285
FO,II,17.9944,0.13084
FO,II,18.4074,0.13318
FO,II,18.4541,0.13551
FO,II,18.5638,0.13785
FO,II,18.8989,0.14019
FO,II,19.1429,0.14252
FO,II,19.2957,0.14486
FO,II,19.5576,0.1472
FO,II,19.8619,0.14953
FO,II,19.8657,0.15187
FO,II,20.1235,0.15421
FO,II,20.2125,0.15654
FO,II,20.238,0.15888
FO,II,20.3769,0.16121
FO,II,20.7903,0.16355
FO,II,20.8034,0.16589
FO,II,20.9011,0.16822
FO,II,20.9512,0.17056
FO,II,20.9604,0.1729
FO,II,21.0342,0.17523
FO,II,21.0921,0.17757
FO,II,21.1987,0.17991
FO,II,21.2683,0.18224
FO,II,21.2711,0.18458
FO,II,21.5439,0.18692
FO,II,21.6339,0.18925
FO,II,21.7556,0.19159
FO,II,21.8877,0.19393
FO,II,21.9633,0.19626
FO,II,21.9795,0.1986
FO,II,22.0932,0.20093
FO,II,22.1001,0.20327
FO,II,22.1941,0.20561
FO,II,22.3451,0.20794
FO,II,22.4735,0.21028
FO,II,22.5789,0.21262
FO,II,22.6517,0.21495
FO,II,22.6657,0.21729
FO,II,22.7645,0.21963
FO,II,22.8752,0.22196
FO,II,22.9029,0.2243
FO,II,22.9075,0.22664
FO,II,22.9176,0.22897
FO,II,23.0084,0.23131
FO,II,23.6291,0.23364
FO,II,23.6522,0.23598
FO,II,23.6635,0.23832
FO,II,23.7623,0.24065
FO,II,23.7633,0.24299
FO,II,23.824,0.24533
FO,II,23.8294,0.24766
FO,II,23.909,0.25
FO,II,23.9143,0.25234
FO,II,24.1664,0.25467
FO,II,24.1953,0.25701
FO,II,24.2073,0.25935
FO,II,25.2385,0.26168
FO,II,25.3483,0.26402
FO,II,25.3739,0.26636
FO,II,25.4712,0.26869
FO,II,25.8048,0.27103
FO,II,25.9756,0.27336
FO,II,26.0708,0.2757
FO,II,26.4176,0.27804
FO,II,26.4498,0.28037
FO,II,26.7653,0.28271
FO,II,26.9244,0.28505
FO,II,27.0161,0.28738
FO,II,27.3,0.28972
FO,II,27.6614,0.29206
FO,II,27.7078,0.29439
FO,II,27.7949,0.29673
FO,II,27.877,0.29907
FO,II,28.0646,0.3014
FO,II,28.1605,0.30374
FO,II,28.3196,0.30607
FO,II,28.3607,0.30841
FO,II,28.4824,0.31075
FO,II,28.4976,0.31308
FO,II,28.5521,0.31542
FO,II,28.5631,0.31776
FO,II,28.9076,0.32009
FO,II,28.9174,0.32243
FO,II,29.1298,0.32477
FO,II,29.1705,0.3271
FO,II,29.2763,0.32944
FO,II,29.345,0.33178
FO,II,29.3895,0.33411
FO,II,29.6796,0.33645
FO,II,29.841,0.33879
FO,II,29.9138,0.34112
FO,II,30.1428,0.34346
FO,II,30.5358,0.34579
FO,II,30.7066,0.34813
FO,II,30.9643,0.35047
FO,II,31.3375,0.3528
FO,II,31.4189,0.35514
FO,II,31.72,0.35748
FO,II,31.7891,0.35981
FO,II,31.8205,0.36215
FO,II,32.0928,0.36449
FO,II,32.4966,0.36682
FO,II,32.642,0.36916
FO,II,32.666,0.3715
FO,II,32.7916,0.37383
FO,II,32.7937,0.37617
FO,II,32.8468,0.3785
FO,II,32.8596,0.38084
FO,II,32.9208,0.38318
FO,II,33.2099,0.38551
FO,II,33.5845,0.38785
FO,II,33.8497,0.39019
FO,II,33.9402,0.39252
FO,II,33.9946,0.39486
FO,II,34.0328,0.3972
FO,II,34.1332,0.39953
FO,II,34.2808,0.40187
FO,II,34.4209,0.40421
FO,II,34.7483,0.40654
FO,II,34.8211,0.40888
FO,II,34.9016,0.41121
FO,II,35.3707,0.41355
FO,II,35.3945,0.41589
FO,II,35.4992,0.41822
FO,II,35.5329,0.42056
FO,II,35.8793,0.4229
FO,II,35.9536,0.42523
FO,II,36.2478,0.42757
FO,II,36.4246,0.42991
FO,II,36.4544,0.43224
FO,II,36.5625,0.43458
FO,II,36.831,0.43692
FO,II,37.047,0.43925
FO,II,37.0771,0.44159
FO,II,37.261,0.44393
FO,II,37.3889,0.44626
FO,II,37.4214,0.4486
FO,II,37.4234,0.45093
FO,II,37.4401,0.45327
FO,II,37.5091,0.45561
FO,II,37.5862,0.45794
FO,II,37.6555,0.46028
FO,II,37.7303,0.46262
FO,II,38.0702,0.46495
FO,II,38.3299,0.46729
FO,II,38.4214,0.46963
FO,II,38.5519,0.47196
FO,II,38.5881,0.4743
FO,II,38.6238,0.47664
FO,II,38.6286,0.47897
FO,II,38.6507,0.48131
FO,II,38.7753,0.48364
FO,II,38.9379,0.48598
FO,II,39.04,0.48832
FO,II,39.2016,0.49065
FO,II,39.2879,0.49299
FO,II,39.3258,0.49533
FO,II,39.3831,0.49766
FO,II,39.4718,0.5
FO,II,39.5788,0.50234
FO,II,39.6216,0.50467
FO,II,39.964,0.50701
FO,II,40.0096,0.50935
FO,II,40.2043,0.51168
FO,II,40.5219,0.51402
FO,II,40.6488,0.51636
FO,II,40.6653,0.51869
FO,II,40.8382,0.52103
FO,II,41.1115,0.52336
FO,II,41.2289,0.5257
FO,II,41.2372,0.52804
FO,II,41.3989,0.53037
FO,II,41.4376,0.53271
