trajectory,actual_t_mm,an_t_mm,fd_t_mm,cond
VI,173.05557220487063,43.1270311689424,284.3789123104261,7.487202311075988
VI,171.3719270384504,42.49987877956277,280.2075281969852,7.641048841251759
VI,165.9262948212101,39.70888797109654,282.4630899368533,8.032327195828332
VI,168.27755087098166,39.03734216910583,263.2616765542141,7.646478586221997
VI,177.51955997016333,44.19084119431646,419.6939067775638,7.5931819470855855
VI,176.3441319495969,44.261538232631146,636.3034130848247,7.704226686400285
VI,182.0529310752588,47.98241761251328,266.0798370152441,7.963538696660873
VI,177.16617154399933,46.70065063070623,274.17802936889353,8.088827075879218
VI,179.5849885730134,47.33457393678325,261.93080728509176,7.561021870681139
VI,168.25597302441992,40.980309732803526,413.5287588221747,7.393745530829464
VI,166.53387661732023,39.43432531039406,263.5132896824005,7.497735748487776
VI,162.07448209435097,38.24237906454452,350.7852299144551,7.617378220208551
VI,166.2218009934645,38.72380024784493,452.6092645745001,7.436109850510747
VI,172.10414120939282,41.64644766828399,312.4156115263562,7.191934229480214
VI,173.76320807019738,40.91625514168895,330.1906873494589,7.28314524583833
VI,176.8598137630935,40.98672029793119,324.0141508875782,7.517428406775455
VI,170.29116127162314,39.00914833822986,356.4124068583781,7.369492462168252
VI,169.91590492190204,37.85569475158562,346.75277888736133,7.226744217093828
VI,160.37786999832153,35.11020562784688,330.22658370875854,7.222285106773872
VI,157.78197405066126,35.149069921025585,367.7871919175639,7.822437265617011
VI,155.7477880815278,36.00829003503923,345.9133065506441,7.820973857306014
VI,156.63320942082186,38.889284948804296,715.723579357656,7.782375807354331
VI,166.53210986657817,39.3704800364694,520.5711106007816,7.615830377949016
VI,166.5644951455401,40.394279437447565,2231.3231027072097,8.024666549715539
VI,170.080156484676,38.697506181798985,339.5263185300212,8.340890908376979
VI,169.4337840948769,38.15540455626674,324.19011823776856,8.400515712888787
VI,174.49178267631422,40.412175242088345,413.7109006471994,8.201514375231135
VI,165.5716985880463,35.55337373703173,541.0491225481293,8.241849934935203
VI,165.83326309692848,34.79163557684852,367.68681343018943,8.034514402950348
VI,157.10001002110857,32.7023698863349,459.4116676098082,7.99003940518153
VI,158.78378838905869,33.57245196151927,307.2705351317358,8.014940218546327
VI,171.05809752922448,37.609691917085,400.7203150427737,7.880391377067382
VI,171.48020920575064,37.35556724764364,626.2016654373178,7.894105998666912
VI,173.00843258092084,38.5978971656964,324.6678607779552,7.415522182461872
VI,176.14123755856463,40.96616321440051,1024.8989184050504,7.651434466264566
VI,174.27115266137977,40.23000942580688,387.0902377688642,7.346702934529333
VI,165.91727412863062,36.75066706690198,316.9604950259465,7.571193077050081
VI,159.2311359614502,36.20131131160466,618.239040943894,7.562853125746314
VI,154.2334710388763,36.407954638738566,372.4889472258399,7.94360554170725
VI,159.51733986491897,39.14199886707903,284.50422154310365,7.771536499320045
VI,165.15891266490954,38.39630615218401,1328.615934590521,7.985420122259504
VI,166.9593868323557,36.259054269541615,597.6492427091366,8.047637705680106
VI,169.93148012513444,37.55070698833833,532.6852612157603,8.271002150814327
VI,174.83160258803946,37.79769806430192,439.3182585219445,8.158573941398204
VI,173.27841526841158,37.414422470428335,509.5618983400109,7.725475209855561
VI,167.310165979794,36.78227447949596,282.44924040897524,7.494422237417694
VI,166.8503087931298,35.94607426673293,275.7121364297446,7.614784478837283
VI,163.45474572980507,37.40231434123057,348.8650120684428,7.912366701346998
VI,158.11114558873066,37.65992114642735,326.8934178397299,7.895379280425391
VI,165.33065612602093,40.46477924807059,335.41296648357815,7.732248547792744
VI,165.99884288179572,44.332633081362296,459.6314706398937,7.651835001956014
VI,171.92132600705872,43.60135495505455,317.9785538159019,7.525648360696039
VI,168.59092057530876,43.08954009244764,362.5010482423036,7.902674203787515
VI,174.3921906232281,41.98243620013834,538.3487646493115,7.422460357142167
VI,174.0074545379087,40.02626187768297,284.9394661837591,7.482175381005872
VI,172.592187034783,38.06025654275269,242.55536675074364,7.448840576613242
VI,171.88605070046552,38.97520187672043,372.2375068022674,7.714898593880709
VI,165.0725285519483,36.24999917655416,341.191897390645,8.020717575271611
VI,170.51316487948654,37.04166276233219,648.9065777254012,7.608644689329267
VI,174.7263179279266,38.802611127721455,566.1781328374506,7.507303524551573
VI,180.8345412964696,41.00174199585948,280.60890589314295,7.636587956160067
VI,181.7616946850981,41.24296394855581,820.724194728965,7.870768851980389
VI,180.80941721024192,42.07620510725326,268.53173545703817,7.839903970968948
VI,179.8432803735201,42.42574420149557,277.496286876931,7.745441838705938
VI,177.5215198557649,42.14682897072437,907.4636374944428,7.405469425141454
VI,174.91936687287313,39.89500944002051,354.9124150734379,7.4942857009764285
VI,170.1190241095422,38.8875751239673,453.7550033410585,7.42629325081516
VI,162.58334042441473,36.30513936317721,266.890115683795,7.534971117483199
VI,167.4526019740487,37.42092210714415,452.6736134156086,7.550207351514623
VI,170.32493612899174,37.82372383645701,593.8069750011126,7.305426860598949
