trajectory,cond,ecdf
II,7.41272,0.55841
II,7.41944,0.56075
II,7.42318,0.56308
II,7.4347,0.56542
II,7.44188,0.56776
II,7.44304,0.57009
II,7.48813,0.57243
II,7.49235,0.57477
II,7.49405,0.5771
II,7.49964,0.57944
II,7.50028,0.58178
II,7.52908,0.58411
II,7.52917,0.58645
II,7.56708,0.58879
II,7.56755,0.59112
II,7.57679,0.59346
II,7.58022,0.59579
II,7.58786,0.59813
II,7.62905,0.60047
II,7.63383,0.6028
II,7.64584,0.60514
II,7.65125,0.60748
II,7.66357,0.60981
II,7.66487,0.61215
II,7.67123,0.61449
II,7.67605,0.61682
II,7.71002,0.61916
II,7.71057,0.6215
II,7.71321,0.62383
II,7.71658,0.62617
II,7.72005,0.6285
II,7.7207,0.63084
II,7.73665,0.63318
II,7.75396,0.63551
II,7.75861,0.63785
II,7.76039,0.64019
II,7.76724,0.64252
II,7.76855,0.64486
II,7.79338,0.6472
II,7.79422,0.64953
II,7.80012,0.65187
II,7.81525,0.65421
II,7.83338,0.65654
II,7.84748,0.65888
II,7.85142,0.66121
II,7.85533,0.66355
II,7.85933,0.66589
II,7.87061,0.66822
II,7.87092,0.67056
II,7.87244,0.6729
II,7.88385,0.67523
II,7.88565,0.67757
II,7.89564,0.67991
II,7.90211,0.68224
II,7.90973,0.68458
II,7.91882,0.68692
II,7.93426,0.68925
II,7.93521,0.69159
II,7.93651,0.69393
II,7.97375,0.69626
II,7.97414,0.6986
II,7.97422,0.70093
II,7.97633,0.70327
II,7.97699,0.70561
II,7.97765,0.70794
II,7.98126,0.71028
II,7.99173,0.71262
II,8.00603,0.71495
II,8.0121,0.71729
II,8.02493,0.71963
II,8.02633,0.72196
II,8.04706,0.7243
II,8.04731,0.72664
II,8.05779,0.72897
II,8.06699,0.73131
II,8.08563,0.73364
II,8.0968,0.73598
II,8.11137,0.73832
II,8.21401,0.74065
II,8.21561,0.74299
II,8.38188,0.74533
II,8.38225,0.74766
II,8.72094,0.75
II,8.73951,0.75234
II,8.7553,0.75467
II,8.76888,0.75701
II,8.85857,0.75935
II,8.88709,0.76168
II,8.97748,0.76402
II,9.11187,0.76636
II,9.28699,0.76869
II,9.49731,0.77103
II,9.55032,0.77336
II,9.56188,0.7757
II,9.5674,0.77804
II,9.79877,0.78037
II,9.85496,0.78271
II,9.96402,0.78505
II,10.00443,0.78738
II,10.02401,0.78972
II,10.02545,0.79206
II,10.04825,0.79439
II,10.04836,0.79673
II,10.0595,0.79907
II,10.07771,0.8014
II,10.07859,0.80374
II,10.0978,0.80607
II,10.13012,0.80841
II,10.15363,0.81075
II,10.17427,0.81308
II,10.17884,0.81542
II,10.17932,0.81776
II,10.18096,0.82009
II,10.18231,0.82243
II,10.20178,0.82477
II,10.2205,0.8271
II,10.2224,0.82944
II,10.2229,0.83178
II,10.26014,0.83411
II,10.28923,0.83645
II,10.28953,0.83879
II,10.30687,0.84112
II,10.3113,0.84346
II,10.36974,0.84579
II,10.37524,0.84813
II,10.40228,0.85047
II,10.77415,0.8528
II,11.2877,0.85514
II,11.31786,0.85748
II,11.32439,0.85981
II,11.32864,0.86215
II,11.40806,0.86449
II,11.54663,0.86682
II,11.56067,0.86916
II,11.59671,0.8715
II,11.81762,0.87383
II,11.83874,0.87617
II,12.05876,0.8785
II,12.05921,0.88084
II,12.10832,0.88318
II,12.12339,0.88551
II,12.14622,0.88785
II,12.17422,0.89019
II,12.19717,0.89252
II,12.21844,0.89486
II,12.2267,0.8972
II,12.22828,0.89953
II,12.2978,0.90187
II,12.3509,0.90421
II,12.4177,0.90654
II,12.53272,0.90888
II,12.5561,0.91121
II,12.73614,0.91355
II,12.7653,0.91589
II,12.85256,0.91822
II,12.89422,0.92056
II,12.93898,0.9229
II,13.08374,0.92523
II,13.15476,0.92757
II,13.26943,0.92991
II,13.30503,0.93224
II,13.32207,0.93458
II,13.34528,0.93692
II,13.39064,0.93925
II,13.43467,0.94159
II,13.61203,0.94393
II,13.71871,0.94626
II,24.01212,0.9486
II,25.78438,0.95093
II,34.21261,0.95327
II,42.11802,0.95561
II,50.04296,0.95794
II,50.45011,0.96028
II,56.54746,0.96262
II,57.28261,0.96495
II,58.48235,0.96729
II,58.50899,0.96963
II,58.68798,0.97196
II,58.69079,0.9743
II,60.69904,0.97664
II,62.77586,0.97897
II,63.45194,0.98131
II,68.0187,0.98364
II,69.34392,0.98598
II,72.269,0.98832
II,77.09672,0.99065
II,78.59099,0.99299
II,80.39141,0.99533
II,83.71606,0.99766
II,84.29075,1.0
III,4.90078,0.0
III,4.90078,0.0027
III,4.97774,0.00539
III,5.02753,0.00809
III,5.26373,0.01078
III,5.78388,0.01348
III,5.86994,0.01617
III,5.88747,0.01887
III,5.89001,0.02156
III,5.93836,0.02426
III,5.98986,0.02695
III,6.08061,0.02965
III,6.18856,0.03235
III,6.34397,0.03504
III,6.36348,0.03774
III,6.50081,0.04043
III,6.5223,0.04313
III,6.53582,0.04582
III,6.58859,0.04852
III,6.63108,0.05121
III,6.63469,0.05391
