scan,range_m,n,ux,uy,uz,ts
637,5.584344993341833,10631,0.8217326345126613,0.4882120749217797,-0.2939463340092054,1751984512.719
638,5.580991367880978,10736,0.8217339751892901,0.47419522465677444,-0.3160572146500037,1751984513.169
639,5.577643783981728,10516,0.8217353875967557,0.45917749030519345,-0.3375010891363668,1751984513.616
640,5.570956035548477,10402,0.8217444066278008,0.4262598968852385,-0.37820448236808285,1751984514.063
641,5.567605181584359,9809,0.8217504090512624,0.40843059056349523,-0.3973798156877593,1751984514.511
642,5.564249729890004,9460,0.8217574306844322,0.38973691014125056,-0.415716088200194,1751984514.957
643,5.557549887303396,9080,0.8217756928149895,0.34991674203957823,-0.44971433637238106,1751984515.407
644,5.554218236921645,8899,0.8217841213379632,0.32887935156199105,-0.465305523320921,1751984515.855
645,5.547562193008566,9779,0.8217990468185028,0.2847718201065654,-0.4935092067240432,1751984516.358
646,5.54422215873868,9917,0.8218053178484642,0.26179244943980295,-0.506063961345098,1751984516.859
647,5.537544162290809,9758,0.8218164346146335,0.21422413224073075,-0.5279448540927336,1751984517.361
648,5.534206145094163,9632,0.82182124223903,0.18973567988653112,-0.537224550428118,1751984517.864
649,5.527523219318847,9502,0.8218302739020668,0.13960577029100377,-0.5523633132273625,1751984518.369
650,5.524198206766752,9424,0.8218344857605124,0.11407187409934777,-0.5581896501675903,1751984518.871
651,5.517586772029688,9189,0.8218399057745513,0.062341609995658916,-0.5662973538165491,1751984519.374
652,5.51427362340762,9180,0.8218417139809142,0.03625090780403486,-0.5685614028794923,1751984519.877
653,5.507682171804851,9139,0.8218435449425849,-0.01609901150877658,-0.5694857412303186,1751984520.379
654,5.504386909840823,9133,0.8218444595598801,-0.04224888547110727,-0.5681432178308368,1751984520.881
655,5.4977510789752015,9217,0.8218439879991677,-0.09423175200287326,-0.5618654966307265,1751984521.38
656,5.494422101705871,9198,0.8218422505310216,-0.11995492774313479,-0.5569435613706699,1751984521.882
657,5.487779634927866,9099,0.8218401794506606,-0.17058591994351735,-0.5435799512100589,1751984522.382
658,5.484466077088817,9618,0.8218391918734664,-0.1953869389422745,-0.5351675315184353,1751984522.882
659,5.477860278184265,10018,0.8218346721848716,-0.24369807777439595,-0.5149747746092513,1751984523.382
660,5.474581441336863,10644,0.8218319829341982,-0.26710491700057537,-0.5032366790492913,1751984523.88
661,5.468046298524821,10408,0.8218246770426381,-0.3121770922491502,-0.47660220653982416,1751984524.379
662,5.4647796562541275,9898,0.8218178699167883,-0.33374976986784066,-0.46176452851924044,1751984524.879
663,5.458263603376901,10005,0.8218051694908409,-0.3747335204959587,-0.429198150059894,1751984525.384
664,5.455000506004926,10073,0.8218005238051526,-0.3940580138853546,-0.411536366274363,1751984525.887
665,5.448435265350412,9958,0.8217946249154493,-0.4301712823577085,-0.37363921407529005,1751984526.39
666,5.445132183098311,9985,0.8217921542104504,-0.44688477071993704,-0.3534850166226803,1751984526.892
667,5.438480779309052,10130,0.8217864370147409,-0.4774521783377829,-0.31097663793141,1751984527.393
668,5.435121183904642,10026,0.8217820767115022,-0.491244175883161,-0.2887098509864266,1751984527.896
669,5.428434876707927,9786,0.821772874662074,-0.5156888801841,-0.24239290691788004,1751984528.401
670,5.425104442469291,9875,0.821766809779752,-0.5262910761161669,-0.21844224304125773,1751984528.904
671,5.418455145208549,9794,0.8217542350237387,-0.5441401488549027,-0.1692083792981738,1751984529.407
672,5.41512559285581,9739,0.8217486990216465,-0.5513484609941751,-0.14402760226979347,1751984529.909
673,5.4084509430041985,9690,0.8217393565606351,-0.5622557846978784,-0.0928055087432118,1751984530.411
674,5.405103899418216,10012,0.8217357286523567,-0.5659315869257446,-0.0668717517034568,1751984530.913
675,5.398421132528842,9728,0.8217319226309574,-0.5696862196950793,-0.014637568744851335,1751984531.415
676,5.395096655218885,10183,0.8217310866956414,-0.569758387404903,0.011549941115199686,1751984531.92
677,5.388459926998991,10454,0.8217306509664779,-0.5662944004052047,0.06379176539270684,1751984532.423
678,5.385140152293901,10678,0.8217323615078177,-0.562763913580698,0.08973685765682853,1751984532.926
679,5.378497766139348,11225,0.8217377767376028,-0.5521462397881266,0.14100197222086744,1751984533.428
680,5.375172499697007,10432,0.8217392064551698,-0.5450843137938428,0.16621602639433794,1751984533.874
681,5.36857160189468,10888,0.8217422009588329,-0.5275276793576338,0.21553260234795693,1751984534.322
682,5.3652876228312305,10944,0.8217448711507492,-0.517068695993917,0.23953148093849516,1751984534.772
683,5.362016886803417,11166,0.8217505667620438,-0.5055158259112301,0.26302044745522474,1751984535.22
684,5.355468696112226,9813,0.8217648495009037,-0.47923321342566116,0.30828243426194746,1751984535.621
685,5.35219423595127,9906,0.8217729480873699,-0.46455912033810826,0.32996067266035817,1751984536.023
686,5.348932824750184,9995,0.8217820042012955,-0.4489041259817726,0.350940768859138,1751984536.424
687,5.345689381718789,9843,0.8217920520841284,-0.43230254966590026,0.37117695063637646,1751984536.826
688,5.342464796803157,9620,0.8218029632572834,-0.41479034172253426,0.39062624335194296,1751984537.228
689,5.336042079611443,9270,0.8218237275112268,-0.37718698160377234,0.42700789431600494,1751984537.629
690,5.332829623140608,9188,0.8218334177253708,-0.3571749109241627,0.4438647502518675,1751984538.031
691,5.329604349234473,9193,0.8218420131894758,-0.3364109235464029,0.45978625020255415,1751984538.433
692,5.326373630150726,9028,0.8218502227538016,-0.31493810825322116,0.4747380323182555,1751984538.834
693,5.323149941131753,9061,0.821858093406912,-0.29280243709286885,0.48868804684996364,1751984539.236
694,5.316717146042095,8948,0.8218751332969668,-0.2467279232318332,0.5134652833111499,1751984539.637
695,5.31350647980164,9821,0.8218837183517957,-0.222886057627618,0.5242413173562764,1751984540.079
