scan,range_m,n,ux,uy,uz,ts
2064,3.3971015093666255,18321,0.997159504191826,-0.07525089741956245,-0.00319775506601944,1751969496.144
2065,3.3938355393654542,18564,0.9971553758887665,-0.07536602760114414,-0.0010574591038403798,1751969496.481
2066,3.3906024828100993,18328,0.9971507051116268,-0.07542732864477011,0.0010905910779472297,1751969496.815
2067,3.387390078436347,18450,0.9971455375267314,-0.07543376750320273,0.0032440269417028204,1751969497.148
2068,3.3841817315862324,18556,0.9971401211552234,-0.07538178271492141,0.005400520092225506,1751969497.483
2069,3.380981116798642,18385,0.9971343131339376,-0.07527278898285615,0.00756100586248839,1751969497.818
2070,3.3777617921699283,18575,0.9971284752471548,-0.07510198494220505,0.009720890341175849,1751969498.151
2071,3.3745228899115496,18575,0.9971226460710015,-0.07486985351114915,0.011871551186908837,1751969498.484
2072,3.371272625933714,18482,0.997116790056728,-0.07457726992816614,0.014012058986043038,1751969498.815
2073,3.368002954650723,18447,0.9971109960598427,-0.07422311991606965,0.016142800453248177,1751969499.152
2074,3.36470255841642,18517,0.9971055690239236,-0.0738029366278433,0.018265014825723444,1751969499.483
2075,3.361408814813514,18523,0.9970999982185883,-0.07332322781506051,0.02037885706490934,1751969499.816
2076,3.3581141173433933,18514,0.9970942463149047,-0.0727841062857745,0.022484168605783582,1751969500.151
2077,3.3548043209601666,18575,0.9970885817054522,-0.07218311416789637,0.024575562285204893,1751969500.483
2078,3.3514887842793084,18570,0.9970828167593084,-0.07152276910552174,0.026652392440482366,1751969500.816
2079,3.3481575815210656,18644,0.9970772078182157,-0.07080097603394706,0.02870998854181185,1751969501.152
2080,3.3448120145368403,18610,0.9970717257073438,-0.07001846844478206,0.030747160383138985,1751969501.483
2081,3.3414694524681803,18590,0.9970660991156792,-0.06917695136201621,0.03276802396391747,1751969501.816
2082,3.3381419180726875,18485,0.997060081407431,-0.06828039943234258,0.03477040576649607,1751969502.152
2083,3.334795426113573,18244,0.9970541837549617,-0.0673248174021431,0.0367467497677699,1751969502.487
2084,3.3314353385751008,18463,0.997048369854217,-0.06631060427980125,0.03869692405212701,1751969502.821
2085,3.3280773614270145,18557,0.9970423136254136,-0.06524387625603909,0.04061848657408633,1751969503.156
2086,3.324725066439629,18407,0.9970359546261166,-0.06412600245051575,0.04251071620785453,1751969503.491
2087,3.3213643369183394,18845,0.9970295309713405,-0.06295514240183997,0.04437076082549112,1751969503.824
2088,3.317992524860475,18692,0.9970231040294342,-0.0617317887450275,0.04619649651057321,1751969504.16
2089,3.314582386773183,18578,0.9970172478071648,-0.0604488080212687,0.04798488495176544,1751969504.492
2090,3.3111549845244337,18778,0.9970118281820757,-0.05910863592876685,0.049735134700490194,1751969504.829
2091,3.307723214071728,18692,0.9970066673601073,-0.057714952447229156,0.05144598627207375,1751969505.163
2092,3.304319619477815,18624,0.9970012984733103,-0.05627445628424835,0.05311870115548181,1751969505.496
2093,3.3009317978248194,18800,0.9969957749273027,-0.05478836552307353,0.05475088839842552,1751969505.832
2094,3.297539615378867,18571,0.9969904705935371,-0.05325483048032565,0.056337594696518244,1751969506.167
2095,3.294147306558407,18791,0.9969852453213721,-0.05167691442440673,0.05787846859632765,1751969506.5
2096,3.2907460620772606,18708,0.9969802263402165,-0.050056655522626656,0.05936968523160321,1751969506.836
2097,3.287360848609414,18598,0.9969749867309298,-0.048393996683383164,0.060818557347830066,1751969507.17
2098,3.283969474395734,18832,0.9969698922378537,-0.0466857179409199,0.06222119985650363,1751969507.504
2099,3.28057687232246,18668,0.9969649193035123,-0.04493595249773862,0.06357444338145703,1751969507.839
2100,3.277210596668604,18486,0.9969596228580122,-0.04315600750540092,0.06487734124487227,1751969508.174
2101,3.2738621597523014,18909,0.996954029955777,-0.041341207101064925,0.06613294754025834,1751969508.508
2102,3.2705050303739016,18626,0.9969486433348883,-0.03948709257111862,0.06733626120453651,1751969508.843
2103,3.2671540470661906,18637,0.9969431826693043,-0.03760104484794714,0.06848687433034752,1751969509.176
2104,3.263824591615945,19109,0.9969373983230104,-0.03568024106203779,0.06958982844282775,1751969509.512
2105,3.2605244242431315,18785,0.9969308984107236,-0.03373010040309991,0.07064746365429123,1751969509.846
2106,3.2572212851657762,18856,0.9969242858908466,-0.031751054749137704,0.07165081104455802,1751969510.18
2107,3.253907059052856,19155,0.9969177883691329,-0.02974005032045048,0.07259788316565216,1751969510.515
2108,3.25060331764951,18985,0.9969111025611006,-0.02770003541836436,0.07349123504359185,1751969510.85
2109,3.2472889278010055,18968,0.996904580925009,-0.025628726805298877,0.0743264750480709,1751969511.183
2110,3.243969565224679,19198,0.9968981011259347,-0.02352592329647047,0.07510463970058186,1751969511.518
2111,3.2406472044229067,19208,0.9968915873426188,-0.021397253904052813,0.07582427454898072,1751969511.852
2112,3.237330756464805,19199,0.9968848470388355,-0.0192460470428524,0.07648654402953543,1751969512.183
2113,3.234033138484052,19386,0.9968776154694826,-0.017075346764686902,0.0770937890412969,1751969512.518
2114,3.2307475810589126,19423,0.996869887220808,-0.014892086936591652,0.0776444054587714,1751969512.852
2115,3.2274433283283224,19371,0.9968622653734419,-0.012689823434646617,0.07813189013282003,1751969513.183
2116,3.2241270702546747,19412,0.9968547204488224,-0.010468973463249117,0.07855613861135247,1751969513.518
2117,3.220811141554717,19469,0.9968470884378915,-0.008237312520879666,0.07891786208034192,1751969513.852
2118,3.2174952941089154,19419,0.9968394150410042,-0.005988986851517937,0.07921687103894529,1751969514.183
2119,3.2141906369506152,19326,0.996831566416205,-0.003720061584927257,0.07945432233692142,1751969514.518
2120,3.2108652999403433,19428,0.9968240620269766,-0.0014415795403916025,0.07962230348631605,1751969514.852
2121,3.2075196840982905,19365,0.9968170135561408,0.0008425034222594282,0.07971907973001145,1751969515.187
2122,3.2041768725394983,19295,0.9968101625617295,0.0031313711870205084,0.07974769167911751,1751969515.522
2123,3.2008427563682345,19316,0.9968034774507989,0.00542435192856675,0.07970824140670697,1751969515.856
2124,3.197507196938578,19448,0.9967971552758579,0.007711184562793352,0.07959879940423589,1751969516.191
2125,3.1941867462842546,19401,0.9967907799562861,0.009985230545451688,0.07942566439818566,1751969516.525
2126,3.1908717817765724,19341,0.9967844604710252,0.012251460773213547,0.07918737950210132,1751969516.86
2127,3.187535723448444,19542,0.9967786485147936,0.014516802385031233,0.07887704554263754,1751969517.194
2128,3.1841936973712843,19418,0.9967731045361287,0.016778548130126726,0.07849750566771474,1751969517.529
2129,3.180876137287648,19423,0.9967671551445746,0.01903314362330853,0.07805752922560533,1751969517.863
2130,3.1775575283236015,19618,0.9967611656221333,0.02127097492672075,0.07755465384664505,1751969518.198
2131,3.1742494672426114,19607,0.9967548935509264,0.023496143511431148,0.07699099572269098,1751969518.532
2132,3.170975085715116,19543,0.9967478375524649,0.025712578213291072,0.07637153695003529,1751969518.867
2133,3.1677006509935572,19670,0.9967404961651678,0.02790947296204672,0.07569309495188889,1751969519.201
2134,3.164406401299303,19793,0.9967331748279334,0.030089268010851516,0.07495074481284024,1751969519.536
2135,3.161089669127089,19747,0.9967260731059169,0.0322558575920101,0.07413969815060188,1751969519.87
2136,3.1577666359859466,19905,0.9967189644324623,0.034402930879464534,0.07326489123436072,1751969520.205
2137,3.1544490069343323,19877,0.996711719702191,0.036528456299861484,0.07232855375749218,1751969520.539
2138,3.151144247105965,19890,0.9967040956863785,0.038627982489577356,0.07133599800089203,1751969520.874
2139,3.14783155477624,20087,0.996696439400096,0.040704055622574654,0.07028077648294162,1751969521.208
2140,3.144506442880186,19832,0.9966888624516234,0.042759156934879215,0.06915899047201009,1751969521.543
2141,3.141177419162438,19861,0.9966813403368869,0.044785966403591455,0.06797442929192614,1751969521.875
2142,3.137854567672155,19856,0.996673767633595,0.046777605664084704,0.06673272450147609,1751969522.212
2143,3.1345591043148318,19870,0.9966657739539034,0.048736467455906124,0.06543769379177439,1751969522.546
2144,3.13129375130121,20263,0.9966573079158915,0.050665643614372216,0.06408746472586813,1751969522.88
2145,3.1280459350989407,20417,0.9966486183968157,0.0525619635956542,0.06267991249744544,1751969523.215
2146,3.1247932228366717,19978,0.9966400607475684,0.05441715277274645,0.06121570711174492,1751969523.55
2147,3.121535173674806,20450,0.9966318184430951,0.05622859891227998,0.059693912010953774,1751969523.882
2148,3.1182773965452464,20349,0.9966238053647063,0.05799323740817648,0.05811862864255309,1751969524.218
2149,3.1150254799532546,20049,0.9966159662141884,0.059712055303154675,0.05648970117138597,1751969524.552
2150,3.1117539836222607,20524,0.9966087646582148,0.06138324862417232,0.05480024630209135,1751969524.883
2151,3.108486162537803,20399,0.9966018118593681,0.0630006722843222,0.053063583466893084,1751969525.218
2152,3.105220878551959,20141,0.9965950732977141,0.06456339047888573,0.0512818534044426,1751969525.55
2153,3.1019682473948706,20556,0.9965883055562214,0.06607475969182124,0.04945579197877084,1751969525.883
2154,3.0987296114152985,20329,0.9965814366569121,0.06753522977113904,0.04758605731308649,1751969526.218
2155,3.095492431371299,20279,0.9965746166094175,0.06894105758032039,0.04567454553139389,1751969526.55
2156,3.0922582456924586,20609,0.9965678036122845,0.07029275817767366,0.04372117280177001,1751969526.883
2157,3.0890362221604013,20446,0.9965607153678955,0.07159185300310181,0.04172945205739704,1751969527.218
2158,3.085812136125756,20315,0.9965534521642111,0.07283591381940549,0.03970071331456878,1751969527.551
2159,3.0825865749287567,20594,0.9965460616461922,0.07402578228089834,0.03763151040238052,1751969527.887
2160,3.079378485662327,20400,0.9965381744052544,0.07516313377666896,0.035527035816590766,1751969528.222
2161,3.0761793130727932,20465,0.9965300011640637,0.0762426750579362,0.03339178461779646,1751969528.555
2162,3.0729873820118425,20374,0.9965215189177757,0.07726466870051418,0.031225523284790214,1751969528.891
2163,3.069807005375256,19986,0.9965126682586659,0.07823087062598207,0.02902469433249955,1751969529.223
2164,3.0666227021917782,20010,0.9965036485296036,0.07913609222794994,0.02679472660949777,1751969529.56
2165,3.063421652032412,20004,0.9964948690591398,0.0799735773030451,0.02453982217054423,1751969529.894
2166,3.0602276698770297,19962,0.9964858807142136,0.08074860115028192,0.022261018608566212,1751969530.227
2167,3.0570321098805957,20254,0.9964768777950862,0.08145783229721959,0.019961301991478806,1751969530.563
2168,3.0538455599569865,20149,0.9964675828697116,0.08210508301642759,0.017638356858283667,1751969530.898
