trajectory,rms_mm,rms_pa_mm,actual_t_mm,fo_err_deg,fd_err_deg
VI,109.08058629295826,38.401717666601336,165.34354962842204,6.709211328336089,58.79648213813744
VI,107.20701025828156,38.206235703514224,162.70173144446414,5.881121032778856,35.38245139268342
VI,109.12638664610152,41.27888159138839,165.48160584038175,8.434314494742338,13.13048932188268
VI,111.60914947171796,42.8880514160125,168.19706369112697,14.01659376212368,19.087651005967942
VI,114.57702357628828,46.17457639871972,174.44925370014002,25.06408049240703,19.115139419166066
VI,110.7704103623778,46.32967748532287,169.8567690104878,37.554841817879044,19.39601941648023
VI,104.57160428687952,39.845974524234805,161.68085123366987,36.88461888312869,11.706225965312646
VI,105.03736595443924,41.283422516892536,167.84565645887804,35.194173508249904,14.98213158447931
VI,113.89796675241853,47.28992044105392,174.16516176820815,35.544650270885626,25.567192406628614
VI,119.00567604077126,48.53944734852206,178.19017889780213,30.126963715510097,12.47038115675207
VI,124.1930523200916,51.66895314498025,182.0088997212407,34.52185617588901,16.93426739179481
