traj,subset,kind,form,block,n,et_med,eR_med,g_gt_med
v,all(out-of-support extrapolation),p2p,trim,31,50,182.12706926479518,1.6115428224195703,0.052268541510909705
v,all(out-of-support extrapolation),p2p,trim,32,50,183.76390584789766,1.3256031178478274,0.055535094667538504
v,all(out-of-support extrapolation),p2p,trim,33,50,187.2508200056355,1.3715941719395524,0.05510435972852825
v,all(out-of-support extrapolation),p2p,trim,34,50,190.02460041700647,2.2703422148883114,0.056901876631264794
v,all(out-of-support extrapolation),p2p,trim,35,50,193.70195571191164,2.3855476604612456,0.06406964874724294
v,all(out-of-support extrapolation),p2p,trim,36,50,194.67802580839125,2.1125630415855956,0.0610313309703934
v,all(out-of-support extrapolation),p2p,trim,37,18,194.92948042217586,2.933894819244525,0.060473839768207305
v,all(out-of-support extrapolation),p2l,ls,0,50,151.7858886325779,3.424516345678063,0.11675463936852395
v,all(out-of-support extrapolation),p2l,ls,1,50,154.20745651153288,3.376252641456034,0.12566218445281316
v,all(out-of-support extrapolation),p2l,ls,2,50,154.9164696939688,3.0420139804577957,0.09223496007277979
v,all(out-of-support extrapolation),p2l,ls,3,50,157.8189196382624,2.696672995549477,0.09334082132685476
v,all(out-of-support extrapolation),p2l,ls,4,50,157.1815575429911,2.7944085535745584,0.09157429733227271
v,all(out-of-support extrapolation),p2l,ls,5,50,158.16680044317337,2.879832885548021,0.08857388120851364
v,all(out-of-support extrapolation),p2l,ls,6,50,160.91389799232124,2.625740401289497,0.08539407885135919
v,all(out-of-support extrapolation),p2l,ls,7,50,159.7786133847804,2.4940812684000995,0.08063068234112225
v,all(out-of-support extrapolation),p2l,ls,8,50,160.5943358836539,2.5617358772610404,0.0741957411542908
v,all(out-of-support extrapolation),p2l,ls,9,50,163.74586815092624,2.525009856512543,0.06855278373185585
v,all(out-of-support extrapolation),p2l,ls,10,50,166.85225461524232,2.866206738085202,0.05754404680442135
v,all(out-of-support extrapolation),p2l,ls,11,50,167.44006245839665,2.7503911711381925,0.0532943326964844
v,all(out-of-support extrapolation),p2l,ls,12,50,172.0188446649048,2.8302189831506737,0.050310960662795945
v,all(out-of-support extrapolation),p2l,ls,13,50,170.47419717803695,2.5648662349345672,0.04889286505855355
v,all(out-of-support extrapolation),p2l,ls,14,50,174.120769232319,2.375434342818364,0.051080511342433355
v,all(out-of-support extrapolation),p2l,ls,15,50,171.52136132142064,2.3572403593700972,0.04973823326644
