trajectory,order,scan,arm,et_mm,eR_deg,iters,on_bound,n_points,wmean,sumw,ess_w,keep_ratio,n_retain,block,in_support
III,185,185,PatchHuber,53.50149020900951,3.0436850065059264,28,0,10414,0.7876650234404863,8202.743554109224,9154.525779863037,,10414,0,True
III,185,185,PatchTrim,55.222464223696804,3.297322782383099,40,0,10414,0.7999807950835414,8331.0,8331.0,0.7999807950835414,8331,0,True
III,185,185,Full,46.12546536362933,2.1863079661802702,27,0,10414,1.0,10414.0,10414.0,1.0,10414,0,True
III,186,186,Raw,78.19897115204122,1.7886655027283067,40,0,10402,1.0,10402.0,10402.0,1.0,10402,0,True
III,186,186,Huber,58.37500650576566,1.4534802724251699,40,0,10402,0.7478338326464027,7778.9675271878805,8792.220437234695,,10402,0,True
III,186,186,Trim,56.49229263365751,1.3224341664775627,40,0,10402,0.800038454143434,8322.0,8322.0,0.800038454143434,8322,0,True
III,186,186,Patch,62.292856336448764,2.876626914727127,40,0,10402,1.0,10402.0,10402.0,1.0,10402,0,True
III,186,186,PatchHuber,54.5184550344755,3.0327178780313355,40,0,10402,0.7899737796779659,8217.3072562102,9160.96123966301,,10402,0,True
III,186,186,PatchTrim,52.90131698051939,3.272753286020859,40,0,10402,0.800038454143434,8322.0,8322.0,0.800038454143434,8322,0,True
III,186,186,Full,48.67798916492142,2.4706869424267106,18,0,10402,1.0,10402.0,10402.0,1.0,10402,0,True
III,187,187,Raw,78.1630572942821,2.1022037950642756,40,0,10487,1.0,10487.0,10487.0,1.0,10487,0,True
III,187,187,Huber,58.694244175895115,1.5043802423584418,40,0,10487,0.7462718941109168,7826.153353541184,8840.241851928726,,10487,0,True
III,187,187,Trim,57.03645491611458,1.4760433502028094,40,0,10487,0.8000381424620959,8390.0,8390.0,0.8000381424620959,8390,0,True
III,187,187,Patch,59.8292710417542,2.6156763340011486,40,0,10487,1.0,10487.0,10487.0,1.0,10487,0,True
III,187,187,PatchHuber,54.513585452611814,2.942710598088412,40,0,10487,0.7832783137012104,8214.239675784593,9177.105162058022,,10487,0,True
III,187,187,PatchTrim,54.43375532679784,3.2041420339478885,40,0,10487,0.8000381424620959,8390.0,8390.0,0.8000381424620959,8390,0,True
III,187,187,Full,47.76216244094478,2.2138645874922633,20,0,10487,1.0,10487.0,10487.0,1.0,10487,0,True
III,188,188,Raw,77.67104912096544,1.844771806390362,40,0,10432,1.0,10432.0,10432.0,1.0,10432,0,True
III,188,188,Huber,58.51536752087452,1.6969004406079282,40,0,10432,0.7519105318512397,7843.930668272133,8861.792802652917,,10432,0,True
III,188,188,Trim,55.785308971986986,1.6167500259586705,40,0,10432,0.8000383435582822,8346.0,8346.0,0.8000383435582822,8346,0,True
III,188,188,Patch,60.7061872339596,2.9541491680081253,31,0,10432,1.0,10432.0,10432.0,1.0,10432,0,True
III,188,188,PatchHuber,53.95220568236671,3.165774332859419,40,0,10432,0.7871228717128641,8211.265797708598,9175.376585965761,,10432,0,True
III,188,188,PatchTrim,50.8663566824024,3.4712821046292235,40,0,10432,0.8000383435582822,8346.0,8346.0,0.8000383435582822,8346,0,True
III,188,188,Full,48.5628460160403,2.4107618452949167,30,0,10432,1.0,10432.0,10432.0,1.0,10432,0,True
III,189,189,Raw,77.67811412008692,1.6894436412406952,40,0,10545,1.0,10545.0,10545.0,1.0,10545,0,True
III,189,189,Huber,57.613180124098584,1.6030001520747812,38,0,10545,0.7639245594543835,8055.584479446475,9037.403478624246,,10545,0,True
III,189,189,Trim,54.75295422619474,1.5514471084623993,40,0,10545,0.8,8436.0,8436.0,0.8,8436,0,True
III,189,189,Patch,62.88455728595496,3.119220109748706,40,0,10545,1.0,10545.0,10545.0,1.0,10545,0,True
III,189,189,PatchHuber,53.1735486667672,3.3055097549016157,40,0,10545,0.7902300339453079,8332.975707953272,9289.162420093877,,10545,0,True
III,189,189,PatchTrim,49.60874111173654,3.5034002637328046,40,0,10545,0.8,8436.0,8436.0,0.8,8436,0,True
III,189,189,Full,51.323856964903825,2.4178309233485686,21,0,10545,1.0,10545.0,10545.0,1.0,10545,0,True
III,190,190,Raw,77.87314998701852,1.7148078861809715,40,0,10527,1.0,10527.0,10527.0,1.0,10527,0,True
III,190,190,Huber,57.67920423098816,1.3829246340707921,40,0,10527,0.7683389956893867,8088.3046076221735,9049.89424106755,,10527,0,True
III,190,190,Trim,52.85179449461393,1.2640798879258273,40,0,10527,0.8000379975301606,8422.0,8422.0,0.8000379975301606,8422,0,True
III,190,190,Patch,64.2915324039084,3.1592980836338485,32,0,10527,1.0,10527.0,10527.0,1.0,10527,0,True
III,190,190,PatchHuber,56.274409526010345,3.210252613432383,40,0,10527,0.7858737593914307,8272.89306511359,9235.873321125307,,10527,0,True
III,190,190,PatchTrim,50.601940197523895,3.4036141700177795,40,0,10527,0.8000379975301606,8422.0,8422.0,0.8000379975301606,8422,0,True
III,190,190,Full,55.68762337621472,2.390173080423592,24,0,10527,1.0,10527.0,10527.0,1.0,10527,0,True
III,191,191,Raw,80.42019560282348,1.4480043805406324,40,0,10505,1.0,10505.0,10505.0,1.0,10505,0,True
III,191,191,Huber,58.9959283987832,1.3425543313478783,40,0,10505,0.7692694423369835,8081.175491750011,9033.735816133203,,10505,0,True
III,191,191,Trim,53.689519403997025,1.2204220869653175,40,0,10505,0.8,8404.0,8404.0,0.8,8404,0,True
