traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
vi,18,rotation,1.0,"[1.0, 0.0, 0.0]",85.00591876957303,2.6688751453966555,0.9999999999998617
vi,18,rotation,2.0,"[1.0, 0.0, 0.0]",85.00591876957415,2.668875145396649,0.9999999999998617
vi,18,combined,25.0,"[1.0, 0.0, 0.0]",84.97260566801639,2.6699925758693426,0.9999999423986877
vi,18,combined,50.0,"[1.0, 0.0, 0.0]",84.39003567448403,2.559951325007468,0.9997335123372706
vi,18,combined,100.0,"[1.0, 0.0, 0.0]",84.44299048861677,2.566343919255798,0.9997218559766582
vi,18,translation,10.0,"[0.0, 1.0, 0.0]",85.02609036642806,2.6677531695122214,0.9999999015063452
vi,18,translation,25.0,"[0.0, 1.0, 0.0]",85.03123330771706,2.6691986022579064,0.9999998294752731
vi,18,translation,50.0,"[0.0, 1.0, 0.0]",85.04245798631072,2.670655753863863,0.9999992414026552
vi,18,translation,100.0,"[0.0, 1.0, 0.0]",85.0715322772051,2.672565985365703,0.9999961227063512
vi,18,rotation,0.25,"[0.0, 1.0, 0.0]",85.00591876957303,2.6688751453966555,0.9999999999998617
vi,18,rotation,0.5,"[0.0, 1.0, 0.0]",85.00591876957458,2.668875145396675,0.9999999999998617
vi,18,rotation,1.0,"[0.0, 1.0, 0.0]",85.00591876957434,2.668875145396687,0.9999999999998616
vi,18,rotation,2.0,"[0.0, 1.0, 0.0]",85.00591876957456,2.6688751453966817,0.9999999999998619
vi,18,combined,25.0,"[0.0, 1.0, 0.0]",85.03123330771697,2.6691986022579277,0.9999998294752732
vi,18,combined,50.0,"[0.0, 1.0, 0.0]",85.0424579863107,2.6706557538638624,0.9999992414026552
vi,18,combined,100.0,"[0.0, 1.0, 0.0]",85.071532277204,2.6725659853657224,0.9999961227063513
vi,18,translation,10.0,"[0.0, 0.0, 1.0]",85.00462987625588,2.6686657876879645,0.9999999981004548
vi,18,translation,25.0,"[0.0, 0.0, 1.0]",84.99979403618947,2.669558532028768,0.9999999967750555
vi,18,translation,50.0,"[0.0, 0.0, 1.0]",85.0006792311219,2.6684025601475216,0.999999991447824
vi,18,translation,100.0,"[0.0, 0.0, 1.0]",85.00620430077633,2.6677929732179044,0.9999999992285912
vi,18,rotation,0.25,"[0.0, 0.0, 1.0]",85.00591876957473,2.6688751453966812,0.9999999999998619
vi,18,rotation,0.5,"[0.0, 0.0, 1.0]",85.00591876957458,2.668875145396675,0.9999999999998617
vi,18,rotation,1.0,"[0.0, 0.0, 1.0]",85.00591876957473,2.6688751453966812,0.9999999999998619
vi,18,rotation,2.0,"[0.0, 0.0, 1.0]",85.00591876957456,2.6688751453966817,0.9999999999998619
vi,18,combined,25.0,"[0.0, 0.0, 1.0]",84.99979403618869,2.6695585320287685,0.9999999967750555
vi,18,combined,50.0,"[0.0, 0.0, 1.0]",85.00067923112277,2.6684025601475367,0.999999991447824
vi,18,combined,100.0,"[0.0, 0.0, 1.0]",85.00620430077615,2.667792973217902,0.9999999992285913
vi,21,oracle,0.0,all,73.73727814530697,3.1324602125229535,1.0
vi,21,translation,10.0,"[1.0, 0.0, 0.0]",73.74711623747923,3.1338620494240415,0.999999971632611
vi,21,translation,25.0,"[1.0, 0.0, 0.0]",73.79015831087419,3.1320103551097342,0.9999999697302335
vi,21,translation,50.0,"[1.0, 0.0, 0.0]",73.83717078146553,3.131027172549734,0.9999998175932963
vi,21,translation,100.0,"[1.0, 0.0, 0.0]",74.95557238294833,3.2545291080752414,0.9999031808620928
vi,21,rotation,0.25,"[1.0, 0.0, 0.0]",73.73727814530604,3.132460212522954,0.9999999999998159
vi,21,rotation,0.5,"[1.0, 0.0, 0.0]",73.73727814530697,3.1324602125229535,0.9999999999998163
vi,21,rotation,1.0,"[1.0, 0.0, 0.0]",73.73727814530697,3.1324602125229535,0.9999999999998163
vi,21,rotation,2.0,"[1.0, 0.0, 0.0]",73.73727814530697,3.1324602125229535,0.9999999999998163
vi,21,combined,25.0,"[1.0, 0.0, 0.0]",73.79015831087419,3.1320103551097342,0.9999999697302335
vi,21,combined,50.0,"[1.0, 0.0, 0.0]",73.83717078146553,3.131027172549734,0.9999998175932963
vi,21,combined,100.0,"[1.0, 0.0, 0.0]",74.95557238294833,3.2545291080752414,0.9999031808620928
vi,21,translation,10.0,"[0.0, 1.0, 0.0]",73.72797999033907,3.13408642646927,0.9999999706244894
vi,21,translation,25.0,"[0.0, 1.0, 0.0]",73.74533079320483,3.1351637260127894,0.9999998728293256
vi,21,translation,50.0,"[0.0, 1.0, 0.0]",73.74570948878036,3.132602596404264,0.9999995518310236
vi,21,translation,100.0,"[0.0, 1.0, 0.0]",73.74873967656515,3.138947982430877,0.9999979669944239
vi,21,rotation,0.25,"[0.0, 1.0, 0.0]",73.73727814530697,3.1324602125229535,0.9999999999998163
