traj,scan,ptype,magnitude,axis,et_mm,eR_deg,dir_cos
v,1742,translation,10.0,"[0.0, 0.0, 1.0]",142.32640260700236,3.4900464254080577,0.9999999999732904
v,1742,translation,25.0,"[0.0, 0.0, 1.0]",142.32984182464307,3.491034601056665,0.9999999998338641
v,1742,translation,50.0,"[0.0, 0.0, 1.0]",142.29852294422108,3.4899436139609823,0.9999999894281837
v,1742,translation,100.0,"[0.0, 0.0, 1.0]",142.2965408161871,3.4907729376065935,0.9999999776608738
v,1742,rotation,0.25,"[0.0, 0.0, 1.0]",142.32848385192284,3.4899569980158183,0.9999999999999505
v,1742,rotation,0.5,"[0.0, 0.0, 1.0]",142.3284838519235,3.489956998015829,0.9999999999999505
v,1742,rotation,1.0,"[0.0, 0.0, 1.0]",142.3284838519235,3.489956998015829,0.9999999999999505
v,1742,rotation,2.0,"[0.0, 0.0, 1.0]",142.3284838519235,3.489956998015829,0.9999999999999505
v,1742,combined,25.0,"[0.0, 0.0, 1.0]",142.3298418246425,3.49103460105667,0.9999999998338643
v,1742,combined,50.0,"[0.0, 0.0, 1.0]",142.2985229442216,3.48994361396095,0.9999999894281836
v,1742,combined,100.0,"[0.0, 0.0, 1.0]",142.2965408161871,3.4907729376065935,0.9999999776608738
v,1755,oracle,0.0,all,153.18878094551496,5.539544042310321,1.0
v,1755,translation,10.0,"[1.0, 0.0, 0.0]",153.18767950184406,5.539567227540191,0.9999999999726411
v,1755,translation,25.0,"[1.0, 0.0, 0.0]",153.18471569926277,5.539130851822735,0.9999999992889115
v,1755,translation,50.0,"[1.0, 0.0, 0.0]",153.18284813677295,5.537864541501802,0.9999999990631818
v,1755,translation,100.0,"[1.0, 0.0, 0.0]",153.16107362499062,5.537321462127704,0.9999999927090432
v,1755,rotation,0.25,"[1.0, 0.0, 0.0]",153.1887809455155,5.539544042310314,0.9999999999999573
v,1755,rotation,0.5,"[1.0, 0.0, 0.0]",153.1887809455155,5.539544042310314,0.9999999999999573
v,1755,rotation,1.0,"[1.0, 0.0, 0.0]",153.18878094551312,5.539544042310329,0.9999999999999574
v,1755,rotation,2.0,"[1.0, 0.0, 0.0]",153.18878094551312,5.539544042310329,0.9999999999999574
v,1755,combined,25.0,"[1.0, 0.0, 0.0]",153.18471569926317,5.53913085182274,0.9999999992889115
v,1755,combined,50.0,"[1.0, 0.0, 0.0]",153.18284813677158,5.537864541501787,0.9999999990631818
v,1755,combined,100.0,"[1.0, 0.0, 0.0]",153.1610736249905,5.537321462127695,0.9999999927090432
v,1755,translation,10.0,"[0.0, 1.0, 0.0]",153.18943499817456,5.539565051460187,0.9999999999844521
v,1755,translation,25.0,"[0.0, 1.0, 0.0]",153.18964186287656,5.539570504953223,0.9999999999786449
v,1755,translation,50.0,"[0.0, 1.0, 0.0]",153.18979451230692,5.539534185000685,0.9999999999041229
v,1755,translation,100.0,"[0.0, 1.0, 0.0]",153.19260633409402,5.539809807392078,0.9999999997293506
v,1755,rotation,0.25,"[0.0, 1.0, 0.0]",153.18878094551496,5.539544042310321,0.9999999999999573
v,1755,rotation,0.5,"[0.0, 1.0, 0.0]",153.1887809455155,5.539544042310314,0.9999999999999573
v,1755,rotation,1.0,"[0.0, 1.0, 0.0]",153.1887809455155,5.539544042310314,0.9999999999999573
v,1755,rotation,2.0,"[0.0, 1.0, 0.0]",153.1887809455155,5.539544042310314,0.9999999999999573
v,1755,combined,25.0,"[0.0, 1.0, 0.0]",153.18964186287698,5.539570504953216,0.9999999999786449
v,1755,combined,50.0,"[0.0, 1.0, 0.0]",153.18979451230692,5.539534185000685,0.9999999999041229
v,1755,combined,100.0,"[0.0, 1.0, 0.0]",153.1926063340941,5.539809807392092,0.9999999997293506
v,1755,translation,10.0,"[0.0, 0.0, 1.0]",153.18757826650886,5.539567219731931,0.9999999999714603
v,1755,translation,25.0,"[0.0, 0.0, 1.0]",153.1836107308184,5.539193004453749,0.9999999993524569
v,1755,translation,50.0,"[0.0, 0.0, 1.0]",153.18244383265474,5.537936302128887,0.9999999991733334
v,1755,translation,100.0,"[0.0, 0.0, 1.0]",153.16029245764219,5.537552249242968,0.9999999914180088
v,1755,rotation,0.25,"[0.0, 0.0, 1.0]",153.18878094551496,5.539544042310321,0.9999999999999573
v,1755,rotation,0.5,"[0.0, 0.0, 1.0]",153.18878094551496,5.539544042310321,0.9999999999999573
v,1755,rotation,1.0,"[0.0, 0.0, 1.0]",153.18878094551312,5.539544042310329,0.9999999999999574
v,1755,rotation,2.0,"[0.0, 0.0, 1.0]",153.18878094551462,5.539544042310323,0.9999999999999574
v,1755,combined,25.0,"[0.0, 0.0, 1.0]",153.1836107308184,5.539193004453749,0.9999999993524569
v,1755,combined,50.0,"[0.0, 0.0, 1.0]",153.1824438326551,5.537936302128892,0.9999999991733335
v,1755,combined,100.0,"[0.0, 0.0, 1.0]",153.16029245764065,5.537552249242985,0.9999999914180085
