name,method,flag,crc,csize,usize,lho
epos_dataset_ii/0021.3d,8,8,3915018481,66429,243839,1477503
epos_dataset_ii/0021.pose,8,8,1629473429,65,89,1544033
epos_dataset_ii/0022.3d,8,8,1107869399,66221,243007,1544201
epos_dataset_ii/0022.pose,8,8,1595043625,65,89,1610523
epos_dataset_ii/0023.3d,8,8,2739630323,66288,242886,1610691
epos_dataset_ii/0023.pose,8,8,3271779979,65,89,1677080
epos_dataset_ii/0024.3d,8,8,2283519027,66375,242627,1677248
epos_dataset_ii/0024.pose,8,8,3093875264,64,89,1743724
epos_dataset_ii/0025.3d,8,8,1389547829,66380,242978,1743891
epos_dataset_ii/0025.pose,8,8,3053153369,65,89,1810372
epos_dataset_ii/0026.3d,8,8,1169317890,66570,243645,1810540
epos_dataset_ii/0026.pose,8,8,1775618914,64,89,1877211
epos_dataset_ii/0027.3d,8,8,483808258,66918,244716,1877378
epos_dataset_ii/0027.pose,8,8,219847549,65,89,1944397
epos_dataset_ii/0028.3d,8,8,782542025,66466,242854,1944565
epos_dataset_ii/0028.pose,8,8,2769271189,64,89,2011132
epos_dataset_ii/0029.3d,8,8,3174676177,66300,241811,2011299
epos_dataset_ii/0029.pose,8,8,3183285723,64,89,2077700
epos_dataset_ii/0030.3d,8,8,1980390857,65993,240605,2077867
epos_dataset_ii/0030.pose,8,8,4040672936,65,89,2143961
epos_dataset_ii/0031.3d,8,8,1036847436,65758,239441,2144129
epos_dataset_ii/0031.pose,8,8,4066795662,64,89,2209988
epos_dataset_ii/0032.3d,8,8,3802866724,65798,239227,2210155
epos_dataset_ii/0032.pose,8,8,1861220452,65,89,2276054
epos_dataset_ii/0033.3d,8,8,4139104152,66437,241059,2276222
epos_dataset_ii/0033.pose,8,8,3631589195,65,89,2342760
epos_dataset_ii/0034.3d,8,8,2249255598,66263,240393,2342928
epos_dataset_ii/0034.pose,8,8,3863187974,65,89,2409292
epos_dataset_ii/0035.3d,8,8,2741324114,66497,241228,2409460
epos_dataset_ii/0035.pose,8,8,2530139307,65,89,2476058
epos_dataset_ii/0036.3d,8,8,3533665460,66767,241759,2476226
epos_dataset_ii/0036.pose,8,8,1514187898,65,89,2543094
epos_dataset_ii/0037.3d,8,8,860891456,66637,241354,2543262
epos_dataset_ii/0037.pose,8,8,2445588718,65,89,2610000
epos_dataset_ii/0038.3d,8,8,684030618,66576,241082,2610168
epos_dataset_ii/0038.pose,8,8,1313673229,66,89,2676845
epos_dataset_ii/0039.3d,8,8,3352860394,66239,240396,2677014
epos_dataset_ii/0039.pose,8,8,1204769167,64,89,2743354
epos_dataset_ii/0040.3d,8,8,3191229107,66014,239868,2743521
epos_dataset_ii/0040.pose,8,8,1525501973,66,89,2809636
epos_dataset_ii/0041.3d,8,8,2707524284,65993,239731,2809805
epos_dataset_ii/0041.pose,8,8,1341386014,66,89,2875899
epos_dataset_ii/0042.3d,8,8,2538153637,65937,239491,2876068
epos_dataset_ii/0042.pose,8,8,3376666588,65,89,2942106
epos_dataset_ii/0043.3d,8,8,3086856172,66024,239857,2942274
epos_dataset_ii/0043.pose,8,8,1616479370,65,89,3008399
epos_dataset_ii/0044.3d,8,8,491538751,65982,239708,3008567
epos_dataset_ii/0044.pose,8,8,1214346266,65,89,3074650
epos_dataset_ii/0045.3d,8,8,2495236624,65687,238516,3074818
epos_dataset_ii/0045.pose,8,8,1669048659,65,89,3140606
epos_dataset_ii/0046.3d,8,8,3012330635,65405,237759,3140774
epos_dataset_ii/0046.pose,8,8,2735866164,64,89,3206280
epos_dataset_ii/0047.3d,8,8,3475422553,65342,237413,3206447
epos_dataset_ii/0047.pose,8,8,1736917112,66,89,3271890
epos_dataset_ii/0048.3d,8,8,207779531,65492,237559,3272059
epos_dataset_ii/0048.pose,8,8,3447038038,66,89,3337652
epos_dataset_ii/0049.3d,8,8,696570415,64759,234691,3337821
epos_dataset_ii/0049.pose,8,8,1471897474,64,89,3402681
epos_dataset_ii/0050.3d,8,8,3044631706,64594,233769,3402848
epos_dataset_ii/0050.pose,8,8,2974041535,66,89,3467543
epos_dataset_ii/0051.3d,8,8,3067770442,63989,231351,3467712
epos_dataset_ii/0051.pose,8,8,3218812920,65,89,3531802
epos_dataset_ii/0052.3d,8,8,3556212453,62146,224701,3531970
epos_dataset_ii/0052.pose,8,8,3613366535,64,89,3594217
epos_dataset_ii/0053.3d,8,8,4143725578,61767,223058,3594384
epos_dataset_ii/0053.pose,8,8,2444576442,64,89,3656252
epos_dataset_ii/0054.3d,8,8,2481200598,62078,224184,3656419
epos_dataset_ii/0054.pose,8,8,276141222,65,89,3718598
epos_dataset_ii/0055.3d,8,8,1312433684,62731,226305,3718766
epos_dataset_ii/0055.pose,8,8,3154218392,66,89,3781598
epos_dataset_ii/0056.3d,8,8,865763630,62589,225647,3781767
epos_dataset_ii/0056.pose,8,8,1467758632,65,89,3844457
epos_dataset_ii/0057.3d,8,8,1723809578,61097,220000,3844625
epos_dataset_ii/0057.pose,8,8,1750687925,64,89,3905823
epos_dataset_ii/0058.3d,8,8,3894186020,59441,213452,3905990
epos_dataset_ii/0058.pose,8,8,2612836220,64,89,3965532
epos_dataset_ii/0059.3d,8,8,2155262962,66569,238679,3965699
epos_dataset_ii/0059.pose,8,8,2622188896,65,89,4032369
epos_dataset_ii/0060.3d,8,8,3212635452,65313,234500,4032537
epos_dataset_ii/0060.pose,8,8,2791473857,65,89,4097951
epos_dataset_ii/0061.3d,8,8,2236696583,64572,231949,4098119
epos_dataset_ii/0061.pose,8,8,3984942973,65,89,4162792
epos_dataset_ii/0062.3d,8,8,1602224824,63241,227016,4162960
epos_dataset_ii/0062.pose,8,8,3359085282,66,89,4226302
epos_dataset_ii/0063.3d,8,8,25725768,60668,216971,4226471
epos_dataset_ii/0063.pose,8,8,2014339768,65,89,4287240
epos_dataset_ii/0064.3d,8,8,3358883716,59579,212883,4287408
epos_dataset_ii/0064.pose,8,8,3053127973,63,89,4347088
epos_dataset_ii/0065.3d,8,8,377796433,65618,234230,4347254
epos_dataset_ii/0065.pose,8,8,3954030834,65,89,4412973
epos_dataset_ii/0066.3d,8,8,934384370,64489,229841,4413141
epos_dataset_ii/0066.pose,8,8,4130794891,64,89,4477731
epos_dataset_ii/0067.3d,8,8,1361932351,63465,225855,4477898
epos_dataset_ii/0067.pose,8,8,3937832499,65,89,4541464
epos_dataset_ii/0068.3d,8,8,1501303562,61848,219873,4541632
epos_dataset_ii/0068.pose,8,8,1748210010,65,89,4603581
epos_dataset_ii/0069.3d,8,8,3510109301,59507,211308,4603749
epos_dataset_ii/0069.pose,8,8,3228463350,65,89,4663357
epos_dataset_ii/0070.3d,8,8,1026868421,66752,236610,4663525
epos_dataset_ii/0070.pose,8,8,2573313151,64,89,4730378
epos_dataset_ii/0071.3d,8,8,1642329026,65293,231641,4730545
epos_dataset_ii/0071.pose,8,8,767700713,65,89,4795939
epos_dataset_ii/0072.3d,8,8,1779950499,65133,231006,4796107
epos_dataset_ii/0072.pose,8,8,1120432293,64,89,4861341
epos_dataset_ii/0073.3d,8,8,3587615212,65855,233390,4861508
epos_dataset_ii/0073.pose,8,8,2788221478,65,89,4927464
epos_dataset_ii/0074.3d,8,8,2142936127,66335,234764,4927632
epos_dataset_ii/0074.pose,8,8,2175506994,64,89,4994068
epos_dataset_ii/0075.3d,8,8,2276371900,67770,239953,4994235
epos_dataset_ii/0075.pose,8,8,3151637827,65,89,5062106
epos_dataset_ii/0076.3d,8,8,1828842389,68561,243084,5062274
epos_dataset_ii/0076.pose,8,8,3778154955,65,89,5130936
epos_dataset_ii/0077.3d,8,8,3190252145,67915,240491,5131104
epos_dataset_ii/0077.pose,8,8,3193214349,64,89,5199120
epos_dataset_ii/0078.3d,8,8,1130205726,67701,239243,5199287
epos_dataset_ii/0078.pose,8,8,615810629,64,89,5267089
epos_dataset_ii/0079.3d,8,8,803295256,68057,240592,5267256
epos_dataset_ii/0079.pose,8,8,4238138152,65,89,5335414
epos_dataset_ii/0080.3d,8,8,2881508213,67825,239111,5335582
epos_dataset_ii/0080.pose,8,8,1600824146,66,89,5403508
epos_dataset_ii/0081.3d,8,8,2898396505,67533,238308,5403677
epos_dataset_ii/0081.pose,8,8,1037658525,64,89,5471311
epos_dataset_ii/0082.3d,8,8,2808183348,67953,240072,5471478
epos_dataset_ii/0082.pose,8,8,1119613554,66,89,5539532
epos_dataset_ii/0083.3d,8,8,4179267853,68512,241398,5539701
epos_dataset_ii/0083.pose,8,8,708873339,65,89,5608314
epos_dataset_ii/0084.3d,8,8,2422156203,68968,243166,5608482
epos_dataset_ii/0084.pose,8,8,1290845776,65,89,5677551
epos_dataset_ii/0085.3d,8,8,3527150426,68723,242401,5677719
epos_dataset_ii/0085.pose,8,8,2075128038,65,89,5746543
epos_dataset_ii/0086.3d,8,8,2334471802,68691,242151,5746711
epos_dataset_ii/0086.pose,8,8,3974991151,66,89,5815503
epos_dataset_ii/0087.3d,8,8,3232566740,68676,242455,5815672
epos_dataset_ii/0087.pose,8,8,995371056,65,89,5884449
epos_dataset_ii/0088.3d,8,8,1188784664,69367,244482,5884617
epos_dataset_ii/0088.pose,8,8,2985968982,64,89,5954085
epos_dataset_ii/0089.3d,8,8,736191111,69318,244593,5954252
epos_dataset_ii/0089.pose,8,8,3625838816,65,89,6023671
epos_dataset_ii/0090.3d,8,8,1197333418,70149,247791,6023839
epos_dataset_ii/0090.pose,8,8,3772915217,64,89,6094089
epos_dataset_ii/0091.3d,8,8,3379396778,70187,247830,6094256
epos_dataset_ii/0091.pose,8,8,2688478750,64,89,6164544
epos_dataset_ii/0092.3d,8,8,380031121,70915,250472,6164711
epos_dataset_ii/0092.pose,8,8,3939852788,64,89,6235727
epos_dataset_ii/0093.3d,8,8,1017099108,71230,251588,6235894
epos_dataset_ii/0093.pose,8,8,2344595018,64,89,6307225
epos_dataset_ii/0094.3d,8,8,2899558969,71571,252631,6307392
epos_dataset_ii/0094.pose,8,8,1081677223,64,88,6379064
epos_dataset_ii/0095.3d,8,8,299037383,71868,253452,6379231
epos_dataset_ii/0095.pose,8,8,2092702879,64,88,6451200
epos_dataset_ii/0096.3d,8,8,3257617195,71800,253349,6451367
epos_dataset_ii/0096.pose,8,8,64523715,64,88,6523268
epos_dataset_ii/0097.3d,8,8,2375115950,72213,254574,6523435
epos_dataset_ii/0097.pose,8,8,4082220544,65,88,6595749
epos_dataset_ii/0098.3d,8,8,3778048958,72806,256819,6595917
epos_dataset_ii/0098.pose,8,8,195663321,63,88,6668824
epos_dataset_ii/0099.3d,8,8,2214942700,72876,256683,6668990
epos_dataset_ii/0099.pose,8,8,1040903105,64,88,6741967
epos_dataset_ii/0100.3d,8,8,621898325,73497,259204,6742134
epos_dataset_ii/0100.pose,8,8,2788659434,63,88,6815732
epos_dataset_ii/0101.3d,8,8,874010667,73762,260195,6815898
epos_dataset_ii/0101.pose,8,8,2973221399,63,88,6889761
epos_dataset_ii/0102.3d,8,8,211059651,74549,262725,6889927
epos_dataset_ii/0102.pose,8,8,1714248737,64,88,6964577
epos_dataset_ii/0103.3d,8,8,3003243565,74400,263494,6964744
epos_dataset_ii/0103.pose,8,8,1297122929,63,88,7039245
epos_dataset_ii/0104.3d,8,8,3169645471,68366,241327,7039411
epos_dataset_ii/0104.pose,8,8,2986227006,64,88,7107878
epos_dataset_ii/0105.3d,8,8,1180938031,69066,243714,7108045
epos_dataset_ii/0105.pose,8,8,423547238,64,88,7177212
epos_dataset_ii/0106.3d,8,8,1055805437,69776,246752,7177379
epos_dataset_ii/0106.pose,8,8,2784247384,63,88,7247256
epos_dataset_ii/0107.3d,8,8,2556121073,71296,252139,7247422
epos_dataset_ii/0107.pose,8,8,2928941249,64,88,7318819
epos_dataset_ii/0108.3d,8,8,2921940634,72440,256542,7318986
epos_dataset_ii/0108.pose,8,8,171175950,63,88,7391527
epos_dataset_ii/0109.3d,8,8,2326412535,73513,260848,7391693
epos_dataset_ii/0109.pose,8,8,3013660696,64,88,7465307
epos_dataset_ii/0110.3d,8,8,4212069821,74433,263651,7465474
epos_dataset_ii/0110.pose,8,8,606224279,65,88,7540008
epos_dataset_ii/0111.3d,8,8,3401416722,74766,265090,7540176
epos_dataset_ii/0111.pose,8,8,983087688,64,88,7615043
epos_dataset_ii/0112.3d,8,8,3184743846,68836,244116,7615210
epos_dataset_ii/0112.pose,8,8,1175739297,64,88,7684147
epos_dataset_ii/0113.3d,8,8,2472416734,69989,248894,7684314
epos_dataset_ii/0113.pose,8,8,3823666294,64,88,7754404
epos_dataset_ii/0114.3d,8,8,2260673332,71438,253995,7754571
epos_dataset_ii/0114.pose,8,8,3825652755,63,88,7826110
epos_dataset_ii/0115.3d,8,8,776071210,72026,256610,7826276
epos_dataset_ii/0115.pose,8,8,4217023577,64,88,7898403
epos_dataset_ii/0116.3d,8,8,379357736,72838,259592,7898570
epos_dataset_ii/0116.pose,8,8,3281485144,63,88,7971509
epos_dataset_ii/0117.3d,8,8,531519958,73789,262955,7971675
epos_dataset_ii/0117.pose,8,8,43576662,63,88,8045565
epos_dataset_ii/0118.3d,8,8,3490896723,74045,264875,8045731
