scan_id,range_m,point_count,down_count,converged,ransac_fitness,icp_fitness,ransac_iters,n_corr,translation_error_m,attitude_error_deg,terr_vec_target_x,terr_vec_target_y,terr_vec_target_z,rot_err_axis_x,rot_err_axis_y,rot_err_axis_z,symmetry_equivalent_rotation_k,runtime_s,icp_rmse,angular_rate_deg_s
50,14.801325933081875,9939,3227,0,0.0017167381974248926,0.3251072961373391,227328,122,0.7083987389851379,62.246592834449594,0.15400739111564213,0.6845202259534524,0.09768601301169796,-0.4931753794552223,-0.06286984557488916,0.8676551317295296,1,2.79334309999831,0.057511928147322935,7.432644011706672
55,14.802210048708876,9947,3040,0,0.001072961373390558,0.634549356223176,12288,123,0.11237764841758459,10.209934052287645,0.0003388651646107979,0.044855606671665986,0.10303686517156496,0.8120758691422969,-0.13816799312335706,-0.5669588948354608,1,0.6614719000062905,0.04526616946155471,8.890763526649387
60,14.801655451107555,10169,3137,0,0.0008583690987124463,0.21566523605150215,18432,111,1.3332236826426203,126.17417517615559,1.0442718035898026,0.8200438552741268,0.12045689525136183,-0.2737432362186207,0.9042527030893918,-0.32770671274797675,0,0.745307800010778,0.0628149387290087,8.898269772358608
65,14.800678159511948,9659,3001,0,0.0008583690987124463,0.2549356223175966,43008,99,1.014250996605513,132.6453599027124,0.864808850958831,0.3962565822703905,0.35184010065075344,-0.07572683016858683,0.9379847212590043,-0.33830475887472483,0,0.8923257000278682,0.05862951692769687,6.679336074968352
70,14.799658013698695,9386,3049,0,0.0008583690987124463,0.16759656652360516,28672,104,1.4251013480983552,53.124768407732454,0.6282414468946543,-1.1032644952104649,-0.6473283481846428,0.5409014342053632,-0.2481461625480275,0.8036473856656718,2,0.865814299962949,0.059476319125463986,7.425660752015398
75,14.798772262091745,10454,3212,0,0.0015021459227467812,0.6596566523605151,16384,128,0.10428867277602921,52.706789099534035,0.008432035434291135,-0.05831320489807078,-0.08604997491188578,0.8247850117090362,-0.07691190197740756,-0.5601912564422464,2,0.7882614000118338,0.04400922383592347,6.5089176168218135
80,14.79878774599156,10417,3151,0,0.0012875536480686696,0.1849785407725322,8192,122,1.482091749629323,69.32763453341795,0.8388302230299194,-0.8923279525695311,0.8346919409662179,0.20021399789206143,0.406939995285742,0.8912430618439158,2,0.631801399984397,0.05902341766634945,8.692856920173583
85,14.798056897033778,9820,3088,0,0.0008583690987124463,0.13948497854077252,22528,128,1.826342409375617,166.01503966948493,1.7397850682725395,0.5116739428340328,-0.2164816129017017,0.4988031619196328,-0.1582940375522374,0.8521375495390326,2,0.9118632000172511,0.05527186632691079,8.678557644643591
90,14.796753277927762,8700,2844,0,0.0008583690987124463,0.21995708154506438,118784,97,0.8363669736497149,68.00300523412842,0.38640410186167684,0.4997979064585329,-0.548090902475239,-0.37751145013617243,-0.5679976459968327,0.7313438173377422,0,1.4998639999539591,0.05998060499961774,8.49673073899128
95,14.795687286738422,10533,3163,0,0.0015021459227467812,0.6437768240343348,6144,106,0.10622069225783265,16.1499402955736,0.008793943240027371,0.07535648087515204,0.07434314236119703,0.7810937815342233,0.007306071098638886,-0.6243709840901231,0,0.6555097000091337,0.048821661365642886,8.469433207134715
