dataset,order,scan,block_full,in_support,condition,kind,n_points,gt_norm,gr_norm,residual_rms_mm,trans_error_mm,rot_error_deg,patch_spread_mm
IV,16,16,0,False,N2,p2l,9499,0.014978711128464205,0.010054781564426811,52.856407411578495,112.73938825472669,4.984656161806018,173.82451869886552
IV,16,16,0,False,N3,p2p,9499,0.03481498471146533,0.019301288295639103,64.78604743202054,112.457844802466,2.307614298310411,189.82179957383389
IV,16,16,0,False,N3,p2l,9499,0.03339019311704969,0.017219994753774233,61.40132161021553,112.9018733367878,2.734328790614013,189.82179957383389
IV,17,17,0,False,raw,p2p,9424,0.05804012708328097,0.019496857787586704,68.61958549240377,120.92091212328273,2.376598599939673,40.60691359789228
IV,17,17,0,False,raw,p2l,9424,0.05279352379866535,0.015014429746809122,65.34216168968055,124.22842746996375,2.331922950426166,40.60691359789228
IV,17,17,0,False,N1,p2p,9424,0.02292863184410427,0.01660734291925394,57.070937589040135,109.31321968556325,2.4092067084797053,45.46386506610157
IV,17,17,0,False,N1,p2l,9424,0.017353141513537323,0.012638616581570646,53.20615194693987,114.35236968611724,2.2740143176630174,45.46386506610157
IV,17,17,0,False,N2,p2p,9424,0.02081994785674702,0.016841149487232254,57.791263235269696,115.55885499232492,4.062204792726382,48.49718151321135
IV,17,17,0,False,N2,p2l,9424,0.014408872686258139,0.013571019615034948,53.71560351185044,119.31910394976593,4.728870892331326,48.49718151321135
IV,17,17,0,False,N3,p2p,9424,0.035104980800335826,0.020781403393401957,65.2752436739871,116.33964411944994,2.2539877235429073,47.64428469265226
IV,17,17,0,False,N3,p2l,9424,0.0339588581828849,0.019376223380931864,61.78227802783975,117.39045876346854,2.589407720859859,47.64428469265226
IV,18,18,0,False,raw,p2p,9422,0.05720385845535374,0.019931382714979594,69.0493289658625,122.72328107220058,2.2831942203383213,41.007495997006146
IV,18,18,0,False,raw,p2l,9422,0.05267087951931654,0.014681851194561231,66.00439788061698,127.64713118000392,2.330119245905801,41.007495997006146
IV,18,18,0,False,N1,p2p,9422,0.022914026090948832,0.01564630592771867,58.0353115202229,111.70431017630176,2.3147997660751805,44.79928431847298
