order,scan,dbs_mhat_m,raw_ete_mm,dbs_ete_mm,dbs_ete_sens_globalmed_mm,raw_eR_deg,dbs_eR_deg,dir_cos_vhat_realized,improved_primary,in_support,block_full,block_primary
362,362,0.1668569422034094,55.464248400373116,115.82058433705112,110.44127686960783,1.5507355006252812,1.5507355006252812,0.9456445400652246,False,True,7,4
363,363,0.16682983271165244,54.70704323454731,116.33876602066809,110.98178294186212,1.3095575907748902,1.3095575907748902,0.9472327620119059,False,True,7,4
364,364,0.16568882087645861,55.831413855772574,114.88941062003602,110.67113225529359,1.6698912581721337,1.6698912581721337,0.9388730586635577,False,True,7,4
365,365,0.16567159730624995,56.39019563304376,114.02618184877981,109.82255473030548,1.46466693179443,1.46466693179443,0.9432928381112161,False,True,7,4
366,366,0.16565433393938758,57.62328559512348,111.9954777747815,107.80150165587519,1.9043603122085138,1.9043603122085138,0.9543096044611749,False,True,7,4
367,367,0.16563721376375076,56.51263768401173,113.4903751912565,109.31646951381151,1.6582788034687348,1.6582788034687348,0.9480859887443245,False,True,7,4
368,368,0.16562029129363803,55.64402292343346,113.60944186801727,109.44250018205054,1.7351956913594517,1.7351956913594517,0.9559274559547926,False,True,7,4
369,369,0.16555191075229111,56.41226540578543,113.09538838291417,109.00082968163017,1.9121962539905744,1.9121962539905744,0.952934479946391,False,True,7,4
370,370,0.16554189121942064,55.21778040276879,114.4209813558016,110.33629401275711,1.5454697840212397,1.5454697840212397,0.9496353751001716,False,True,7,4
371,371,0.16553172126969576,55.0591912706957,114.39848207238263,110.32173495240788,1.7941910237226726,1.7941910237226726,0.9515674413167741,False,True,7,4
372,372,0.16552159013013376,54.086460543092244,114.70956220183228,110.63445048053988,1.651210753983012,1.651210753983012,0.9586429790161455,False,True,7,4
373,373,0.16551167353975565,54.00911669107167,114.60246599334604,110.53516764542574,1.5717532094274376,1.5717532094274376,0.9607957206377483,False,True,7,4
374,374,0.16550194929223852,53.05573709161854,116.00094078424102,111.94716935140163,1.9041296965490702,1.9041296965490702,0.9537590513728282,False,True,7,4
375,375,0.16627315451853739,52.71113766599989,116.49928515160912,111.67346662231057,1.763297839422552,1.763297839422552,0.9614492643642581,False,True,7,4
376,376,0.16626751883247823,51.738118018442606,117.74256910640783,112.92464147019787,1.924130475848291,1.924130475848291,0.9566207302142947,False,True,7,4
377,377,0.16554628365565666,50.794913144209616,118.97605536687878,114.8824255069454,1.8322375804141309,1.8322375804141309,0.9412869906959767,False,True,7,4
378,378,0.16554375294738505,50.283991709360144,118.85940925393945,114.76154838559539,1.853927025253169,1.853927025253169,0.9493797279855485,False,True,7,4
379,379,0.1655412875343815,49.099507255511575,119.23301612996886,115.12850192289852,1.9123976065472568,1.9123976065472568,0.9595334465350124,False,True,7,4
380,380,0.16553898771951903,46.84776352004453,121.07694773854364,116.96909210621655,1.4973332538464483,1.4973332538464483,0.9631198656803033,False,True,7,4
381,381,0.16521996547396253,47.590975463910475,120.88821583275346,117.10565972615474,1.8934392319635869,1.8934392319635869,0.9505669921981347,False,True,7,4
382,382,0.1660813878550498,47.03596466669996,121.72656379738723,117.08251691528386,2.143879559768189,2.143879559768189,0.9586815015068794,False,True,7,4
383,383,0.16608079161212183,46.586198573486044,121.88289125371814,117.2360121938397,2.6965506374426984,2.6965506374426984,0.9627455088977969,False,True,7,4
384,384,0.16608041110360316,43.295556211715436,124.9274725950381,120.2761171455334,1.9233729320789839,1.9233729320789839,0.9630936939681218,False,True,7,4
385,385,0.16608027768639355,41.542854894997525,127.0088363463483,122.35935642055264,1.8580699243551884,1.8580699243551884,0.954947500472336,False,True,7,4
386,386,0.16567893746454554,42.442931968282025,127.18963553608631,122.95213855907951,1.5660116746005925,1.5660116746005925,0.9296000828199809,False,True,7,4
387,387,0.1656434627497633,42.13209920287714,127.169970951971,122.96506611602157,1.6534951769231572,1.6534951769231572,0.9342916725816851,False,True,7,4
388,388,0.16583968863801968,43.24499793071137,125.83923406341607,121.43715899371234,1.7037351447929656,1.7037351447929656,0.9438033881507425,False,True,7,4
389,389,0.165651436421022,41.48702998429097,127.58322998987815,123.36792727256173,1.3168622142004323,1.3168622142004323,0.9373812286503651,False,True,7,4
390,390,0.16562302826509737,41.92595033420694,126.07590847275956,121.88100849000878,1.1093967061924097,1.1093967061924097,0.9572165955654844,False,True,7,4
391,391,0.16559358053436557,44.95980906283821,123.44481336077145,119.28507120401935,1.5924114938540088,1.5924114938540088,0.9539214246282737,False,True,7,4
392,392,0.16376137958526746,42.89118166803084,124.86720028403445,122.53288408638922,1.5217703044906743,1.5217703044906743,0.9300808458387249,False,True,7,4
393,393,0.16373463636667823,44.062820679767974,123.91780195018433,121.61186734049215,1.4483890149251317,1.4483890149251317,0.9283205757728569,False,True,7,4
394,394,0.16304881014024306,43.87248627196605,122.10527822236511,120.47473625852989,0.8577585149873473,0.8577585149873473,0.9506034138817476,False,True,7,4
395,395,0.1630169896107546,47.139575948455416,120.11553760196557,118.52233104517116,1.686933186424835,1.686933186424835,0.9349235058050164,False,True,7,4
396,396,0.162984060910936,45.655322458431094,121.24684450381706,119.68450979117473,1.3636487781962836,1.3636487781962836,0.9371890103931957,False,True,7,4
