order,scan,cos_translation_p2p,cos_rotation_p2p,cos_translation_p2l,cos_rotation_p2l,pred_et_mm_p2p,real_et_mm_p2p,pred_eR_deg_p2p,real_eR_deg_p2p,in_support,block_full,block_primary
12,12,0.8706655363912315,0.5749269778376591,0.6662009923522448,,26.044875704939187,129.55552025904993,0.22194878295485967,6.646681966282603,False,0,-1
13,13,0.8311249467491089,0.3187528499650588,0.9274360411529764,0.242356351681514,25.67834201329973,119.9743575973556,0.16469910187696113,3.90612106067359,False,0,-1
14,14,0.7572585453192983,0.5974104632561652,0.9674151360147858,0.25201393426546015,24.756999628983923,112.80971309156455,0.18882986883570793,2.0491715858517288,False,0,-1
15,15,0.7778783095782579,0.4221657564099526,0.9698498149004119,0.31322042825677104,23.1664816368115,108.46612624586936,0.1895776120329771,1.8483019927285194,False,0,-1
16,16,0.7880133574887074,0.43984667135499994,0.9711751962225628,0.34236632195081856,22.01274164563394,109.36130875964567,0.218982221412505,2.1907817410330246,False,0,-1
17,17,0.8174624264546351,0.5687848450349889,0.9863117635528996,0.4993685071021002,21.483826526789986,108.11255800511614,0.231173869459038,2.4292315695792577,False,0,-1
18,18,0.8381859183812449,0.600906141798698,0.9956084376852181,0.7421159738016524,20.418063020011477,108.2822085704411,0.19982720541933865,2.5105407048034145,False,0,-1
19,19,0.8385882218564492,0.6968738218600115,0.9888052479560558,0.6752241800967999,19.610100300136914,107.26215443888772,0.21233746475637133,2.8396855927562066,False,0,-1
20,20,0.8534725680182013,0.7565262195024571,0.9955590703764464,0.8813953024235205,18.27905166559994,114.63977429440101,0.24072371512092436,2.879716257093926,False,0,-1
21,21,0.8663796586239263,0.8634366043613965,0.9942541175349779,0.9169308114536472,18.79345241239215,119.51685358289284,0.32717339810474294,3.0762897649632746,False,0,-1
22,22,0.8828439778175942,0.7431350291655173,0.9450399343745057,0.1235802832740074,17.60699638222654,117.45896447390079,0.37670089479784036,3.1525636253378053,False,0,-1
23,23,0.9086670300731069,0.5942546996162313,0.9653225515952666,0.5096564306641883,16.715225502355334,116.92176463526225,0.3696728961479429,3.425820077841311,False,0,-1
24,24,0.9795643736220052,0.28258892686597775,0.6269870372406526,,17.023335633026612,155.46592294707025,0.4138263786687563,9.564462646249341,False,0,-1
25,25,0.9980626675204687,0.3190027856608172,0.3375382191832505,,16.753191913055204,189.40522367533208,0.4132960302175274,11.550522557873434,False,0,-1
26,26,0.9768151245024218,-0.5637290845827745,0.9405598767415221,,18.171148377784768,134.6010803894136,0.44020344383856946,6.796135360853497,False,0,-1
27,27,0.9530871092251328,0.5436709217366291,-0.05795174322642517,,18.659860707184205,149.1996132077667,0.46090141345293556,8.294416185007275,False,0,-1
28,28,0.9684607063272763,0.5040667778872501,0.330021718906917,,18.37753865484548,166.8224301169051,0.4770407479234276,11.94734080647782,False,0,-1
29,29,0.9906978646434732,0.41355742354958996,0.912922496647485,,17.726447703742885,241.1056847448875,0.49430750359462255,14.575626365447992,False,0,-1
30,30,0.978707427583908,0.1928662512215346,0.563241032767171,,18.928779206438232,274.570542245708,0.5285133689833863,13.057474591534579,False,0,-1
31,31,0.9072472448788623,-0.7643648140466,0.6176432536848457,,18.765928713332556,274.8176248111928,0.5463931064285359,14.31646041129954,False,0,-1
32,32,0.9376190967200906,-0.6977601418661308,0.3510588453611919,,20.150539194555495,291.4687701300094,0.5560461746101256,14.238754957949697,False,0,-1
33,33,0.9942701280564418,-0.6187246379682215,0.46255440014337684,,20.44746275050298,205.04202404385433,0.5708656832448139,13.598783008103213,False,0,-1
34,34,0.9710708690532996,-0.3306229816502985,0.10501121612829999,,21.934476557424436,129.09236039465918,0.5867451120467689,5.307803570277974,False,0,-1
35,35,0.8690368489782467,0.9561266105118499,0.8793985545565761,-0.04322890811963634,22.50213471621368,118.6007505515853,0.5796244579771618,2.099671508854557,False,0,-1
36,36,0.8543756796439185,0.9254944733486954,0.8386222804364232,-0.2007931149225626,22.541691985362693,117.9338894044029,0.6040491056456924,2.111855902911819,False,0,-1
37,37,0.8375358694449818,0.9988375250023779,0.8622342638767353,0.9762630666749034,23.063211449116434,118.01566583271574,0.6106977671786363,2.820457793476818,False,0,-1
38,38,0.8259985898263115,0.9940986219724993,0.7747003804880177,0.9968422179171282,22.725075543703763,115.46812403298749,0.6295490281979097,2.694161659437163,False,0,-1
39,39,0.8630196927329102,0.9832335593726081,0.7829325138090409,0.9653944631490537,22.482391184500546,113.48220181985603,0.6169055286123508,3.062770688147525,False,0,-1
40,40,0.8832440168237307,0.9859197225358824,0.7919736887156326,0.9387950902818221,22.584418751912334,109.59553030020697,0.603755767148576,3.44449111855188,False,0,-1
41,41,0.8913213914916336,0.9797029176092001,0.7998166489483387,0.917303906610659,22.825051602181148,111.36218966306197,0.6052070655818484,3.5521735306132696,False,0,-1
42,42,0.875227422873728,0.9762934805513988,0.7922602483272867,0.9186841679268806,22.953528267665604,109.06961094455603,0.6070617284639304,3.496620920843978,False,0,-1
43,43,0.8864285904393567,0.9761703218203445,0.7435595426203215,0.8308394664446995,23.079925603959232,106.06583803086976,0.5804540531843423,2.880499719790236,False,0,-1
44,44,0.8848971786530107,0.961060503250361,0.8137278640966383,0.845277623664465,22.82145679378609,106.04906989570982,0.5833023282960379,2.9263355158087414,False,0,-1
