panel,patch_id,block,center_median_mm,n_stat_units,center_statistic,shaded_band,statistical_unit,bin_edge_lo_m,bin_edge_hi_m,range_center_m,band_q25_mm,band_q75_mm,bin_index
2D,20,,41.7816331610083,96,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,9.503480232737164,10.260442167050149,9.810499265315158,33.39232131838797,79.85351886600256,1.0
2D,20,,41.53684899210925,52,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,10.260442167050149,11.017404101363134,10.638113117839758,33.29551592469215,81.89411275088784,2.0
2D,20,,64.7469442337751,45,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,11.017404101363134,11.774366035676117,11.3875998281904,38.9261320233345,96.6730043292045,3.0
2D,20,,42.0309919863939,42,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,11.774366035676117,12.531327969989103,12.138017045948416,30.421561561524825,84.74125340580937,4.0
2D,20,,58.2798440009355,39,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,12.531327969989103,13.288289904302086,12.887592648347324,30.5204172618687,80.05464449524874,5.0
2D,20,,61.0421076416969,36,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,13.288289904302086,14.045251838615071,13.648657075464158,28.9697330445051,74.85040463507173,6.0
2D,20,,47.44094796478745,152,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,14.045251838615071,14.802213772928056,14.795915481352779,25.542940478771875,71.76589593291274,7.0
2E,8,,79.2748779058456,39,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,8.74651829842418,9.503480232737164,9.111138075283352,48.536596819758344,110.72844639420504,0.0
2E,8,,74.09306615591039,93,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,9.503480232737164,10.260442167050149,9.810453089323754,42.7303910255432,108.7371334433555,1.0
2E,8,,90.1683401316404,50,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,10.260442167050149,11.017404101363134,10.62136379925859,51.5337539836764,129.6095661818981,2.0
2E,8,,103.0115634202957,43,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,11.017404101363134,11.774366035676117,11.374233479650483,48.01852535456415,129.82005998492235,3.0
2E,8,,89.26676400005809,42,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,11.774366035676117,12.531327969989103,12.138017045948416,65.37920702248809,122.98599071800707,4.0
2E,8,,82.41502195596689,37,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,12.531327969989103,13.288289904302086,12.913834691182243,40.921799838542896,117.7626103162765,5.0
2E,8,,63.468374311923945,34,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,13.288289904302086,14.045251838615071,13.671386686297335,33.9472917839884,90.93072451651095,6.0
2E,8,,66.43877923488614,146,median,IQR (25th-75th percentile),one supported VI scan's patch-median residual,14.045251838615071,14.802213772928056,14.795960225111891,38.54521643370382,103.76366041600697,7.0
