trajectory,block,n,raw_et_med,raw_eR_med,raw_gt_med,raw_gr_med,patch_et_med,patch_eR_med,patch_gt_med,patch_gr_med,shuf_et_med,shuf_eR_med,shuf_gt_med,shuf_gr_med,shuf_ens_et_med,shuf_ens_et_lo,shuf_ens_et_hi,d_et_patch_raw,d_et_shuf_raw,d_et_patch_shuf,d_eR_patch_raw,d_eR_shuf_raw,d_gt_patch_raw,d_gt_shuf_raw
V,22,50,173.21669320036733,3.3625855756701943,0.04927432242702805,0.0156377040279179,138.50746502337736,4.494013278780404,0.04891970566424175,0.018498594057837152,176.72440415979537,3.2140709743975213,0.05032301837365545,0.0148054505576166,186.80432977989062,164.80157443174159,212.24255110100353,35.20939459091946,-5.722231545435122,37.56267623294636,-1.2586089158925737,-0.06295828166423664,0.00020967745294090003,-0.0017079141272873
V,23,50,175.78921469497556,2.488397803511749,0.0502949845808606,0.0144993091168502,140.22233805754684,3.1952207566618647,0.0523661101865371,0.01508596435731585,168.64603821860482,3.024244928779771,0.050803753288339346,0.013248729424778349,167.29896718725746,144.9461180926798,187.33827435117198,36.77841231226542,6.929578253550943,32.39095122982563,-0.4790093587780291,-0.5202047200724895,0.0002118393649397,-0.00016049545640505
V,24,50,174.6033440425018,2.9144897166733346,0.0674742973673273,0.02206175096792385,148.18358714176452,4.029163235716943,0.06429746609699,0.023446937062920552,176.80233963582882,2.490655318548286,0.06338673216628715,0.013089047035912,189.89455301255953,170.7491717988069,198.0510338972827,26.947554265983513,-2.122820690506515,29.40417328795371,-1.067311177994703,0.16603806615486566,0.00265267778617895,0.00394931522303465
V,25,50,175.66954338954122,2.7681793836930613,0.07124715317033856,0.0238415599054443,149.25080569599285,3.8625912953031243,0.06909217276181459,0.02544095191192295,177.75916833864792,2.5153980359461556,0.07095299933435895,0.02672615287423345,178.78460381475927,168.00168474967234,198.31231292622581,26.143435420118365,-2.869689402776558,27.99077868482165,-1.071850895517557,0.23398256538745477,0.0025826936271815,3.866232368594097e-05
V,26,50,174.40871725736196,2.042599069684253,0.07063275257245974,0.024170593645078953,144.27193950215127,3.1574882831909377,0.06738452773657641,0.0245159867565299,173.07959768768922,3.5027505822412754,0.0634030794502751,0.01722199324874025,173.05929418375933,153.9166209218131,186.83837341893621,31.695450151145835,5.558604453122712,28.025211014329983,-0.9864650900343294,-1.3983664017280493,0.00337306980534925,0.00740067324507385
V,27,50,177.60642049449132,2.1455132094606832,0.07272477085342935,0.02376282846856705,153.85099834968517,3.211736187221521,0.0704774674332779,0.026112168728063198,178.58421644863205,2.0442511458882215,0.0632477940985931,0.015635565288344,193.85529176100079,176.87544822453793,213.6959718323916,23.81781342531103,-2.3785476189797947,24.06417625206886,-1.1206330507543314,0.26585766585333026,0.0028163301378357503,0.011328396231145649
V,28,50,174.16688518264633,1.9123713046448692,0.06875768478851055,0.017809632061162747,142.51404966451656,2.82512073804297,0.06619519544179225,0.018841924925829,175.29338263858386,2.6301094744142683,0.07146454743497245,0.0243629650286392,170.56313154103964,162.17299518132114,192.5834696758416,31.24075034693429,-1.664839190809687,30.32668619225629,-1.141392425994769,-0.44858928543497,0.0023035998013996003,-0.0024232527940444
V,29,50,176.37096446789604,1.4836860143409905,0.0658689880510243,0.0166963270456422,145.5988678514898,2.629498521402814,0.0625642267210641,0.016499349886772652,178.06073148855933,2.2630226694742293,0.06270254388210916,0.010196506758031649,184.52194542515733,150.24798777939978,195.6132886196636,30.48375630385877,-0.17621791645200352,30.538728202633763,-1.1312077474837026,-0.9695490152310413,0.0029995634818316503,0.0047928085931535
V,30,50,175.39718894038606,1.6606827674056697,0.0669699486740279,0.01718976277570125,150.46217726694906,3.3183368765792114,0.06425145138584351,0.018552591130664,178.29397826317708,2.041152008942544,0.0659290241607433,0.0137685397134188,188.93762902662223,177.8583805631269,209.139819153769,23.84951857073277,-3.945607654489123,26.658235135045956,-1.4934520932717663,-0.24395331722585012,0.00321861656896795,0.0022376341880345
V,31,50,176.1257254321529,1.991407894688883,0.0666012239921489,0.0163962340990553,147.51705146320083,2.6367796698630634,0.06293682024184791,0.01623484823373955,172.7622039227968,3.2804444511503554,0.06520445102577906,0.0134374502294918,171.58201449030952,158.55396770048839,185.536492363435,29.418801254474516,1.9003376375861336,28.607671169730565,-0.6619706161265735,-1.2279489808665083,0.0031823410598483502,0.0023486057243104503
V,32,50,181.532312644248,2.013431388385029,0.06877581447703796,0.019681604982631398,155.4582247963742,2.5875835132197667,0.06658552972629761,0.02087552459287685,185.1389868455513,2.9613598080144112,0.06275651733199665,0.01224061476905535,194.55139057468918,171.1658607089491,203.33370949165126,24.83492019312375,-2.2136673621340464,28.32329161859434,-0.589660952537449,-0.7817979122408271,0.00311361850425715,0.0039599787958201
V,33,50,183.85056721892357,2.1211953783101825,0.06885713189023329,0.01838561443756985,163.53150685262761,3.1754011003669813,0.0682246221949773,0.02053010655849705,190.76253385652205,2.2066774196829706,0.06340293740550834,0.0147892798552607,194.80799914721706,183.21024538071293,219.57711095585267,20.202011677229052,-6.16986316238436,25.21404466925391,-0.6271999331789997,-0.11058169962996961,0.00260975287372665,0.00521847138368
V,34,50,182.98521058125402,2.7630899602559555,0.07013319569469251,0.0203298611879818,158.23791626016666,2.436897889759002,0.06928340674104974,0.020026793998121448,180.81651061479445,3.6775421536931274,0.065182389412103,0.014559879642082149,179.01472272686703,162.57206561707176,193.7709653657016,25.468406481544946,0.09042717443045944,26.32230997293243,0.3903574826927249,-0.9597834364232187,0.00200071311595885,0.0053546373109533
V,35,50,181.18874998633572,2.6244378881017267,0.07607695741903306,0.026240245781331502,165.00481461816472,3.2959265390921306,0.07359147783589096,0.02723926622048415,183.9543387503291,2.693666877821676,0.0682785705091588,0.0165014575686313,195.192885032917,178.6900082465395,203.32471912187412,16.256249573222163,-2.627252041261457,17.404189967491845,-0.546326633816995,0.0227278262481578,0.00250100507424625,0.00676887692638245
V,36,50,183.7662181603203,2.792156656499669,0.07461120385417415,0.0219468765811015,163.89616508624798,3.1839658386888425,0.0733920174784116,0.02325262801338055,191.3641061535477,3.075359312301751,0.06853688246311905,0.01841182944252975,185.56013674106464,174.40502613307197,202.22511666668947,19.692837050313642,-7.31211998995542,26.281330991985143,-0.17947550065900894,-0.20685295020042765,0.0017760663980528001,0.0052486817155861995
V,37,18,182.1118543161998,3.4177594877021207,0.07511336567097746,0.023030205019874,158.58990647070544,2.7821878774278,0.07131892090685785,0.021281765834537447,177.40778648559206,3.5432936677266005,0.0675675838851502,0.015983675836130952,176.84304498817215,164.96295743353176,189.16724214535617,23.932235048608376,5.066518582902148,18.503294020421762,0.7425433038597617,-0.23774156004071575,0.004080081378263149,0.00844584807118655
