trajectory,order,level,in_support,posthoc,et_mm,eR_deg,iters,on_bound
VI,9,B2_full,True,0,78.40855767093515,5.161679843502779,40,0
VI,10,A1_patch,True,0,121.5555372518435,6.627160729402519,40,0
VI,10,A2_allhist_scanw,True,0,137.90428698593323,6.932040568582246,40,0
VI,10,B1_view_pointw,True,0,83.53992780622585,5.704781161799563,40,0
VI,10,B2_full,True,0,83.38415687573034,5.588954617226756,40,0
VI,11,A1_patch,True,0,114.80487312469,4.718637570827648,34,0
VI,11,A2_allhist_scanw,True,0,127.34145143592801,4.756778726221289,40,0
VI,11,B1_view_pointw,True,0,78.62394968362769,4.374475559421445,40,0
VI,11,B2_full,True,0,78.27570995247846,4.5396428031603175,40,0
VI,12,A1_patch,True,0,111.24357152841763,6.261441209737575,40,0
VI,12,A2_allhist_scanw,True,0,124.15980890554083,5.955335978851953,40,0
VI,12,B1_view_pointw,True,0,68.52978076012344,3.611362267382524,34,0
VI,12,B2_full,True,0,69.40976246071322,3.5698988757788404,35,0
VI,13,A1_patch,True,0,125.39937352513883,5.619949643749271,36,0
VI,13,A2_allhist_scanw,True,0,139.8800495151994,5.358884825429662,39,0
VI,13,B1_view_pointw,True,0,80.14379210669757,3.113388475752021,30,0
VI,13,B2_full,True,0,79.18155278094434,3.0401354738920574,30,0
VI,14,A1_patch,True,0,132.62270357752033,5.75342059011346,40,0
VI,14,A2_allhist_scanw,True,0,147.3304218605301,5.266205398066926,37,0
VI,14,B1_view_pointw,True,0,89.8758097783165,2.781043726465815,33,0
VI,14,B2_full,True,0,90.8327757213089,3.036689271671352,28,0
VI,15,A1_patch,True,0,124.97331691159606,5.62230094319518,40,0
VI,15,A2_allhist_scanw,True,0,137.41279143625925,5.032172694130488,40,0
VI,15,B1_view_pointw,True,0,86.8009053247105,3.6664217025520838,25,0
VI,15,B2_full,True,0,85.03862691925892,3.6736489625466073,30,0
VI,16,A1_patch,True,0,121.86514212780946,6.59114282379671,40,0
VI,16,A2_allhist_scanw,True,0,132.46515364789101,5.582136292100904,40,0
VI,16,B1_view_pointw,True,0,91.42082022274523,4.543586988288725,40,0
VI,16,B2_full,True,0,89.11294002186709,4.3788575440138064,40,0
VI,17,A1_patch,True,0,118.38797900301098,5.752325799801375,40,0
VI,17,A2_allhist_scanw,True,0,128.23868494930397,4.362931503498176,29,0
VI,17,B1_view_pointw,True,0,89.6609713646957,3.015084550193627,40,0
VI,17,B2_full,True,0,88.62841081797632,3.072436247843718,24,0
VI,18,A1_patch,True,0,116.03671318253521,5.521441798344215,30,0
VI,18,A2_allhist_scanw,True,0,126.7473489038441,4.153172785935764,40,0
VI,18,B1_view_pointw,True,0,79.80484737971676,2.4937937512140036,40,0
VI,18,B2_full,True,0,85.00591876957415,2.668875145396649,40,0
VI,19,A1_patch,True,0,113.16367839982114,6.0964822310448605,40,0
VI,19,A2_allhist_scanw,True,0,113.34849263928608,2.894610458198846,40,0
VI,19,B1_view_pointw,True,0,74.39314005223645,2.7494036134565696,33,0
VI,19,B2_full,True,0,74.30087989901311,2.6197696396926524,40,0
VI,20,A1_patch,True,0,116.4829812239137,5.901642777317471,40,0
VI,20,A2_allhist_scanw,True,0,123.31392597326676,3.3267731971328325,36,0
VI,20,B1_view_pointw,True,0,79.60143638485005,3.8160962928235107,40,0
VI,20,B2_full,True,0,79.55543730208053,3.6610994617728627,40,0
VI,21,A1_patch,True,0,112.59532936484356,5.405327827005857,40,0
VI,21,A2_allhist_scanw,True,0,123.7678137800913,4.358735924622798,28,0
VI,21,B1_view_pointw,True,0,75.63111362383998,3.349509595779299,40,0
VI,21,B2_full,True,0,73.73727814530697,3.1324602125229535,38,0
VI,22,A1_patch,True,0,104.15326676880017,4.47216168853373,40,0
VI,22,A2_allhist_scanw,True,0,120.18552606095837,4.240076348602996,33,0
VI,22,B1_view_pointw,True,0,73.15733161105635,2.1170958093344585,33,0
VI,22,B2_full,True,0,72.6032147062179,1.8502273701222158,37,0
VI,23,A1_patch,True,0,88.9037051283268,4.437350262247826,40,0
VI,23,A2_allhist_scanw,True,0,108.86724826623481,4.68898736514288,39,0
VI,23,B1_view_pointw,True,0,68.68168989584844,2.213149517716742,40,0
VI,23,B2_full,True,0,70.1858692803191,2.1267438693962166,40,0
VI,24,A1_patch,True,0,86.64287307149752,4.495310873554623,34,0
VI,24,A2_allhist_scanw,True,0,105.95971298291096,4.488795318639769,38,0
VI,24,B1_view_pointw,True,0,50.92808539462741,2.312903236907564,33,0
VI,24,B2_full,True,0,52.16883835481699,2.2689006066560444,31,0
VI,25,A1_patch,True,0,101.45842800479842,5.048258954951448,40,0
VI,25,A2_allhist_scanw,True,0,120.70153563770474,5.314778358287544,40,0
VI,25,B1_view_pointw,True,0,67.23949761402294,2.1244913275987356,33,0
VI,25,B2_full,True,0,67.53246487238185,1.9174252032965846,27,0
VI,26,A1_patch,True,0,105.92503864172004,3.9341968204733644,24,0
VI,26,A2_allhist_scanw,True,0,128.34816189834652,5.182924658179916,28,0
VI,26,B1_view_pointw,True,0,69.99423627575047,1.1473968303445659,38,0
VI,26,B2_full,True,0,70.28309756974227,1.0801600740024526,37,0
VI,27,A1_patch,True,0,110.34428266297247,4.027344643574741,35,0
VI,27,A2_allhist_scanw,True,0,136.46008024666781,6.7244889683645654,40,0
VI,27,B1_view_pointw,True,0,73.76163623940484,1.5960011518185513,32,0
VI,27,B2_full,True,0,73.41255627212463,1.5002774134450625,30,0
VI,28,A1_patch,True,0,110.71818136966924,4.241256492166768,25,0
VI,28,A2_allhist_scanw,True,0,138.22393512440087,7.434661529349886,40,0
VI,28,B1_view_pointw,True,0,74.53338885106258,2.0703787851506648,30,0
VI,28,B2_full,True,0,74.28199785930937,2.008919587284252,30,0
VI,29,A1_patch,True,0,106.70332717331604,5.600087948164995,32,0
VI,29,A2_allhist_scanw,True,0,120.26383451646142,3.8296841691678076,28,0
VI,29,B1_view_pointw,True,0,66.53899232112512,2.674622962280595,37,0
VI,29,B2_full,True,0,68.82189042441738,2.834813916487292,35,0
VI,30,A1_patch,True,0,102.1155538473895,5.154637986140575,24,0
VI,30,A2_allhist_scanw,True,0,118.2821117185766,3.1842957774939236,40,0
VI,30,B1_view_pointw,True,0,61.47171834955861,2.396457727209174,34,0
VI,30,B2_full,True,0,62.80590365968582,2.4768527028609615,35,0
VI,31,A1_patch,True,0,104.04005597040756,3.7525607657001947,40,0
VI,31,A2_allhist_scanw,True,0,122.55036212756917,3.169020637998778,40,0
VI,31,B1_view_pointw,True,0,68.70901894565225,2.370024724224818,35,0
VI,31,B2_full,True,0,67.81937066196137,2.4117742115765086,40,0
VI,32,A1_patch,True,0,112.4040240920315,5.72278386230239,40,0
VI,32,A2_allhist_scanw,True,0,131.30945319836246,5.036250887483498,31,0
VI,32,B1_view_pointw,True,0,75.77743453818182,3.914453219173308,40,0
VI,32,B2_full,True,0,73.59262900176459,3.9808228066842326,40,0
VI,33,A1_patch,True,0,117.72858961317749,4.754689909052607,38,0
VI,33,A2_allhist_scanw,True,0,135.930085909397,4.124881089152393,24,0
VI,33,B1_view_pointw,True,0,82.72395590835379,3.4181168372143715,40,0
VI,33,B2_full,True,0,80.36857359362476,3.414062442134474,39,0
VI,34,A1_patch,True,0,111.89686964328469,3.961402684499424,30,0
VI,34,A2_allhist_scanw,True,0,131.54516837136637,3.956454640227175,24,0
VI,34,B1_view_pointw,True,0,76.9826752421811,3.6897324743610302,40,0
VI,34,B2_full,True,0,75.40699150603815,3.5823470487553135,40,0
VI,35,A1_patch,True,0,108.34765508547532,4.964670481449255,28,0
VI,35,A2_allhist_scanw,True,0,130.76443592235637,5.45413975506025,40,0
VI,35,B1_view_pointw,True,0,71.26320445924172,4.198318366242045,40,0
VI,35,B2_full,True,0,74.19772657610915,4.157494736863765,40,0
VI,36,A1_patch,True,0,98.85846216940365,5.297837443304182,37,0
VI,36,A2_allhist_scanw,True,0,121.21512203558773,5.437825176768011,31,0
VI,36,B1_view_pointw,True,0,62.158849938662435,4.324682746679113,40,0
VI,36,B2_full,True,0,63.76252361945195,4.309129858596709,40,0
VI,37,A1_patch,True,0,103.21558066829853,5.007426511880473,31,0
VI,37,A2_allhist_scanw,True,0,125.91686930503826,5.050478209962231,26,0
VI,37,B1_view_pointw,True,0,63.90600052569607,3.1204501386184718,40,0
VI,37,B2_full,True,0,63.892308056786085,3.037074939139249,40,0
VI,38,A1_patch,True,0,99.07778383683859,6.140640726981275,40,0
