table,trajectory,method,block,n_frames,median_translation_mm,median_rotation_deg,axis,block_benefit
paired,VI,Patch+Trim vs Trim Raw,5,83,,,rotation,-0.8399599471119155
paired,IV,Patch+Huber vs Patch LS,0,50,,,translation,18.133112968935258
paired,IV,Patch+Huber vs Patch LS,1,50,,,translation,22.145154979573377
paired,IV,Patch+Huber vs Patch LS,2,50,,,translation,35.79630620103043
paired,IV,Patch+Huber vs Patch LS,3,6,,,translation,33.307994136775406
paired,IV,Patch+Huber vs Patch LS,0,50,,,rotation,0.37959962771581846
paired,IV,Patch+Huber vs Patch LS,1,50,,,rotation,0.22863051336560947
paired,IV,Patch+Huber vs Patch LS,2,50,,,rotation,0.6490637490108166
paired,IV,Patch+Huber vs Patch LS,3,6,,,rotation,0.192423637703933
paired,IV,Patch+Huber vs Huber Raw,0,50,,,translation,35.09508349920641
paired,IV,Patch+Huber vs Huber Raw,1,50,,,translation,34.0074480654955
paired,IV,Patch+Huber vs Huber Raw,2,50,,,translation,25.758679683410286
paired,IV,Patch+Huber vs Huber Raw,3,6,,,translation,7.251000297428384
paired,IV,Patch+Huber vs Huber Raw,0,50,,,rotation,-0.6542790387426181
paired,IV,Patch+Huber vs Huber Raw,1,50,,,rotation,-0.038245736000473984
paired,IV,Patch+Huber vs Huber Raw,2,50,,,rotation,0.27099479986248065
paired,IV,Patch+Huber vs Huber Raw,3,6,,,rotation,-0.596904786033897
paired,IV,Patch+Trim vs Patch LS,0,50,,,translation,27.869365391106086
paired,IV,Patch+Trim vs Patch LS,1,50,,,translation,31.89387012153731
paired,IV,Patch+Trim vs Patch LS,2,50,,,translation,59.48080209349975
paired,IV,Patch+Trim vs Patch LS,3,6,,,translation,49.710228373212324
paired,IV,Patch+Trim vs Patch LS,0,50,,,rotation,0.3992497528391863
paired,IV,Patch+Trim vs Patch LS,1,50,,,rotation,0.2919945674583162
paired,IV,Patch+Trim vs Patch LS,2,50,,,rotation,1.0038426495465496
paired,IV,Patch+Trim vs Patch LS,3,6,,,rotation,0.260839948555023
paired,IV,Patch+Trim vs Trim Raw,0,50,,,translation,38.913005433528824
paired,IV,Patch+Trim vs Trim Raw,1,50,,,translation,38.66545236712529
paired,IV,Patch+Trim vs Trim Raw,2,50,,,translation,39.50682860286665
paired,IV,Patch+Trim vs Trim Raw,3,6,,,translation,14.32590025011369
paired,IV,Patch+Trim vs Trim Raw,0,50,,,rotation,-0.9670748899897954
paired,IV,Patch+Trim vs Trim Raw,1,50,,,rotation,-0.280316828431191
paired,IV,Patch+Trim vs Trim Raw,2,50,,,rotation,0.39065686499479035
paired,IV,Patch+Trim vs Trim Raw,3,6,,,rotation,-0.8336747177065964
paired,II,Patch+Huber vs Patch LS,0,50,,,translation,22.537108050496112
paired,II,Patch+Huber vs Patch LS,1,50,,,translation,1.7301618938858816
paired,II,Patch+Huber vs Patch LS,2,50,,,translation,10.34616745040271
paired,II,Patch+Huber vs Patch LS,3,50,,,translation,3.9228243855402596
paired,II,Patch+Huber vs Patch LS,4,50,,,translation,-7.602540495234376
paired,II,Patch+Huber vs Patch LS,5,50,,,translation,-2.905289220524267
paired,II,Patch+Huber vs Patch LS,6,50,,,translation,68.55957052430583
paired,II,Patch+Huber vs Patch LS,7,50,,,translation,2.3209302736451676
paired,II,Patch+Huber vs Patch LS,8,28,,,translation,16.117611052187414
paired,II,Patch+Huber vs Patch LS,0,50,,,rotation,0.11957475735517059
paired,II,Patch+Huber vs Patch LS,1,50,,,rotation,0.33030202209217546
paired,II,Patch+Huber vs Patch LS,2,50,,,rotation,0.40025069246730904
paired,II,Patch+Huber vs Patch LS,3,50,,,rotation,-0.885833808407412
paired,II,Patch+Huber vs Patch LS,4,50,,,rotation,-1.3538788194324591
paired,II,Patch+Huber vs Patch LS,5,50,,,rotation,-1.1914100659387836
paired,II,Patch+Huber vs Patch LS,6,50,,,rotation,-0.3886572378065227
paired,II,Patch+Huber vs Patch LS,7,50,,,rotation,0.4667372071849917
paired,II,Patch+Huber vs Patch LS,8,28,,,rotation,0.41888573625334863
paired,II,Patch+Huber vs Huber Raw,0,50,,,translation,53.492807346972775
paired,II,Patch+Huber vs Huber Raw,1,50,,,translation,4.425490248603346
paired,II,Patch+Huber vs Huber Raw,2,50,,,translation,3.9022966924017126
paired,II,Patch+Huber vs Huber Raw,3,50,,,translation,11.828102262771207
paired,II,Patch+Huber vs Huber Raw,4,50,,,translation,10.82422742051192
paired,II,Patch+Huber vs Huber Raw,5,50,,,translation,3.6331150104331584
paired,II,Patch+Huber vs Huber Raw,6,50,,,translation,0.9222831386045343
paired,II,Patch+Huber vs Huber Raw,7,50,,,translation,-13.275113192168417
paired,II,Patch+Huber vs Huber Raw,8,28,,,translation,1.9474441806998026
paired,II,Patch+Huber vs Huber Raw,0,50,,,rotation,0.000577588233453108
paired,II,Patch+Huber vs Huber Raw,1,50,,,rotation,-0.040336259652540674
paired,II,Patch+Huber vs Huber Raw,2,50,,,rotation,-0.44852935105082836
paired,II,Patch+Huber vs Huber Raw,3,50,,,rotation,-1.2033657563412683
paired,II,Patch+Huber vs Huber Raw,4,50,,,rotation,-0.7086226787839083
paired,II,Patch+Huber vs Huber Raw,5,50,,,rotation,-1.0367653361413955
paired,II,Patch+Huber vs Huber Raw,6,50,,,rotation,-0.46217541243727894
paired,II,Patch+Huber vs Huber Raw,7,50,,,rotation,-0.0908645236288988
paired,II,Patch+Huber vs Huber Raw,8,28,,,rotation,-0.19215585701686133
