section,trajectory,method,arm,n,K,t_median,t_q25,t_q75,t_ci_lo,t_ci_hi,r_median,r_q25,r_q75,r_ci_lo,r_ci_hi,med_iters,on_bound_rate,med_wmean,med_ess_w,med_keep,comparison,axis,target,comparator,k_improved,n_negative,n_zero,median_block_benefit,q25,q75,ci_lo,ci_hi,sign_p,wilcoxon_p,median_frame_benefit
paired,II,,,,9.0,,,,,,,,,,,,,,,,Patch+Huber vs Huber Raw,rotation,PatchHuber,Huber,1.0,8.0,0.0,-0.44852935105082836,-0.7086226787839083,-0.0908645236288988,-1.0367653361413955,-0.040336259652540674,0.0390625,0.0078125,-0.4977056037487792
paired,II,,,,9.0,,,,,,,,,,,,,,,,Patch+Trim vs Patch LS,translation,PatchTrim,Patch,7.0,2.0,0.0,3.9219154888172767,0.6084377437451991,24.504716919665455,0.6084377437451991,26.14906360799947,0.1796875,0.07421875,5.360330819989535
paired,II,,,,9.0,,,,,,,,,,,,,,,,Patch+Trim vs Patch LS,rotation,PatchTrim,Patch,3.0,6.0,0.0,-0.20155247024447304,-1.276159560576834,0.24453461363744755,-1.6559615989239225,0.5081401895419373,0.5078125,0.359375,-0.20854838441390983
paired,II,,,,9.0,,,,,,,,,,,,,,,,Patch+Trim vs Trim Raw,translation,PatchTrim,Trim,7.0,2.0,0.0,5.7046734095717895,1.8067033358394866,8.253988269247984,-4.008520363404081,9.733764285044586,0.1796875,0.203125,3.504950175238964
paired,II,,,,9.0,,,,,,,,,,,,,,,,Patch+Trim vs Trim Raw,rotation,PatchTrim,Trim,1.0,8.0,0.0,-0.3912701516141809,-1.54511735484206,-0.11969676409318608,-1.5515693347505892,-0.08563571344213233,0.0390625,0.02734375,-0.6887689547678291
paired,III,,,,8.0,,,,,,,,,,,,,,,,Patch+Huber vs Patch LS,translation,PatchHuber,Patch,6.0,2.0,0.0,5.471831535597278,-0.22851198865669398,16.95859014374072,-2.3403944592619528,18.074172279834613,0.2890625,0.109375,5.684058003409454
paired,III,,,,8.0,,,,,,,,,,,,,,,,Patch+Huber vs Patch LS,rotation,PatchHuber,Patch,4.0,4.0,0.0,0.03217919766670463,-0.1164075201393013,0.39777956103013185,-0.19292425593425794,0.5284199520992953,1.0,0.546875,0.20130674610234456
paired,III,,,,8.0,,,,,,,,,,,,,,,,Patch+Huber vs Huber Raw,translation,PatchHuber,Huber,6.0,2.0,0.0,18.25437834496772,11.896551854135485,28.237875081758432,1.9470770559181059,36.978040372909604,0.2890625,0.0390625,19.662711543654517
paired,III,,,,8.0,,,,,,,,,,,,,,,,Patch+Huber vs Huber Raw,rotation,PatchHuber,Huber,1.0,7.0,0.0,-0.6889891292054486,-0.9773710906943474,-0.3899642442865479,-1.0148453700153333,-0.03343096526275574,0.0703125,0.0234375,-0.7200132573811806
paired,III,,,,8.0,,,,,,,,,,,,,,,,Patch+Trim vs Patch LS,translation,PatchTrim,Patch,4.0,4.0,0.0,2.6479010542486137,-9.657278667113085,17.118324084996576,-18.268873262003446,22.357248334864614,1.0,0.7421875,2.92437745789357
