section,trajectory,method,axis,n,K,median,q25,q75,ci_lo,ci_hi,target,comparator,k_improved,n_negative,n_zero,median_block_benefit,sign_p,wilcoxon_p,median_frame_benefit
paired,II,Full_vs_Trim,rotation,,9,,-1.3887972086307834,-0.8458040353668659,-1.4050576788576516,-0.8458040353668659,Full,Trim,0.0,9.0,0.0,-1.292521322292901,0.00390625,0.00390625,-1.182573026796238
paired,III,Patch_vs_Raw,translation,,8,,26.310425413378812,39.31326615531421,23.139861549020765,39.46999229023076,Patch,Raw,8.0,0.0,0.0,31.657774524726364,0.0078125,0.0078125,28.929768382518283
paired,III,Patch_vs_Raw,rotation,,8,,-0.4365148409816695,0.37341469505552405,-0.5049190817852384,0.8372277066659868,Patch,Raw,4.0,4.0,0.0,-0.11222801238534158,1.0,0.84375,-0.1939536888455855
paired,III,Patch_vs_Huber,translation,,8,,-1.9147297493377131,22.728475104649362,-9.136138780193061,32.02705689730904,Patch,Huber,6.0,2.0,0.0,12.206331052846622,0.2890625,0.25,14.107351417414186
paired,III,Patch_vs_Huber,rotation,,8,,-0.999522449975708,-0.5640727883556078,-1.1514936489046912,-0.41252302517085465,Patch,Huber,0.0,8.0,0.0,-0.8455038578129639,0.0078125,0.0078125,-0.8542334176585904
paired,III,Patch_vs_Trim,translation,,8,,-6.768238926299469,26.236929887746957,-13.97539867359301,36.55051689239006,Patch,Trim,5.0,3.0,0.0,7.719486681965632,0.7265625,0.4609375,14.167072958634272
paired,III,Patch_vs_Trim,rotation,,8,,-1.1536031401518465,-0.5398766537385151,-1.263757830628614,-0.3836013502256442,Patch,Trim,0.0,8.0,0.0,-0.7803940954475563,0.0078125,0.0078125,-0.8879857463258549
paired,III,Patch_vs_Global,translation,,8,,17.370291176257012,30.115702577798686,13.669617415604495,31.013104354012256,Patch,Global,8.0,0.0,0.0,24.29438111275274,0.0078125,0.0078125,22.071698792994837
paired,III,Patch_vs_Global,rotation,,8,,-0.4363265719397892,0.37504072729749444,-0.504606794573937,0.8370235538648034,Patch,Global,4.0,4.0,0.0,-0.10102729450996517,1.0,0.84375,-0.19252259257908655
paired,III,Full_vs_Raw,translation,,8,,-6.5949047311595015,40.48667949949344,-19.953969425555822,40.948735067707844,Full,Raw,5.0,3.0,0.0,17.457319617414754,0.7265625,0.1953125,21.9382748470042
paired,III,Full_vs_Raw,rotation,,8,,-1.2847889172492304,-0.33820947328718387,-1.55603179007316,-0.03581031322171491,Full,Raw,1.0,7.0,0.0,-0.8176558428674927,0.0703125,0.109375,-1.0187689823503776
paired,III,Full_vs_Huber,translation,,8,,-31.50936159081428,16.218967047816687,-37.106015660931796,17.746003441496555,Full,Huber,4.0,4.0,0.0,4.661972044744461,1.0,0.640625,7.521661628528442
paired,III,Full_vs_Huber,rotation,,8,,-2.3896293226471172,-0.9840992998576741,-2.4327410210967164,-0.9481321638926044,Full,Huber,0.0,8.0,0.0,-1.7387794098870093,0.0078125,0.0078125,-1.4306836240008414
