trajectory,order,scan,method,block,in_support,translation_error_mm,rotation_error_deg
II,187,187,Trim,0,True,64.62960206601709,0.9241867500622942
II,188,188,Full,0,True,62.14584133310481,1.870437961853313
II,188,188,Global,0,True,113.1948603750148,2.892870566551965
II,188,188,Huber,0,True,71.50097931715153,1.328828505841094
II,188,188,Patch,0,True,79.16240850629984,2.3240162120000365
II,188,188,Raw,0,True,120.16541605802408,2.8928705665519034
II,188,188,Trim,0,True,64.2373214701428,1.0706657888391424
II,189,189,Full,0,True,59.192973908948126,1.9958032096523697
II,189,189,Global,0,True,108.21367355970024,2.5332687552064783
II,189,189,Huber,0,True,69.58033318834484,1.2097875925514838
II,189,189,Patch,0,True,76.48063675096026,1.942005664357436
II,189,189,Raw,0,True,115.85303391267335,2.5336078197997898
II,189,189,Trim,0,True,62.36583708427904,1.08379157551297
II,190,190,Full,0,True,57.59015370786432,1.875701568385715
II,190,190,Global,0,True,111.16498686547848,2.58361927302074
II,190,190,Huber,0,True,68.5396055186027,1.1593358674954155
II,190,190,Patch,0,True,78.96486834087091,1.9866707807296813
II,190,190,Raw,0,True,118.90407425681369,2.5783235782816583
II,190,190,Trim,0,True,61.41388579714441,0.9924356640030134
II,191,191,Full,0,True,46.79433147963146,1.5560377295973218
II,191,191,Global,0,True,108.7403250417453,2.511252604015848
II,191,191,Huber,0,True,67.96811502971478,1.2335662315322775
II,191,191,Patch,0,True,78.02880636966513,1.906985531542857
II,191,191,Raw,0,True,115.84417961861476,2.5107308284320324
II,191,191,Trim,0,True,61.71448314558899,1.0340117579508366
II,192,192,Full,0,True,54.489293488303886,1.9038414569150688
II,192,192,Global,0,True,112.80059201592869,2.679698757978697
II,192,192,Huber,0,True,66.66569320532763,1.1739163872238
II,192,192,Patch,0,True,81.18408167221693,1.9082958841613569
II,192,192,Raw,0,True,120.31390979303144,2.6778455732349555
II,192,192,Trim,0,True,59.258738101857865,1.2142744583821328
II,193,193,Full,1,True,48.15032917799736,2.13479428542906
II,193,193,Global,1,True,113.5018623440656,2.675108589675756
II,193,193,Huber,1,True,66.11108826204784,1.1450168067179378
II,193,193,Patch,1,True,78.79140770489572,1.6624702221623513
II,193,193,Raw,1,True,120.74227014457374,2.674946854068536
II,193,193,Trim,1,True,59.42767199784951,1.1097922284940496
II,194,194,Full,1,True,45.00063530498163,1.9454453939943004
II,194,194,Global,1,True,111.96501332832348,2.4556481883328574
II,194,194,Huber,1,True,64.80545999170135,1.1094625518008356
II,194,194,Patch,1,True,76.89454710301793,1.1777729560893546
II,194,194,Raw,1,True,118.82987041241654,2.4595537231452167
II,194,194,Trim,1,True,58.42301602953688,0.936981254920177
II,195,195,Full,1,True,52.42685906919144,1.9079670357950604
II,195,195,Global,1,True,115.20340690987284,2.5165966103072224
II,195,195,Huber,1,True,64.79149520428084,1.1408285416742896
II,195,195,Patch,1,True,81.93643823522834,1.0827820390436558
II,195,195,Raw,1,True,121.491130125877,2.512866608849175
II,195,195,Trim,1,True,57.99580426321844,0.9871575461659944
II,196,196,Full,1,True,48.38900841227792,2.1793940110613583
II,196,196,Global,1,True,110.36547566585588,2.284657987393187
II,196,196,Huber,1,True,64.20065827902089,0.8797804103659917
II,196,196,Patch,1,True,77.58907609244235,0.4982044792808305
II,196,196,Raw,1,True,116.98638876225009,2.286875522874132
II,196,196,Trim,1,True,56.20895273216241,0.8236966291771546
II,197,197,Full,1,True,50.00213411477103,2.014733982713085
II,197,197,Global,1,True,110.24598544480622,2.2684088024657107
II,197,197,Huber,1,True,61.92936656222378,1.0060312951360828
II,197,197,Patch,1,True,77.70629276733462,0.4632923151886901
II,197,197,Raw,1,True,116.49621772006614,2.2888805382160102
II,197,197,Trim,1,True,55.08475384423315,0.9280303284764766
II,238,238,Full,1,True,17.619387926125164,0.6435575972375566
II,238,238,Global,1,True,32.19290422247616,0.8151478302577443
II,238,238,Huber,1,True,43.30605121640526,0.4955678379731666
II,238,238,Patch,1,True,33.95494003011903,0.7868449564472367
II,238,238,Raw,1,True,44.01267542615943,0.8142763810694273
II,238,238,Trim,1,True,48.67665131672315,0.6259442422341255
II,239,239,Full,1,True,25.44178136552838,1.3149611994621846
II,239,239,Global,1,True,25.03787806818021,0.7747322731290591
