trajectory,order,scan,method,block,in_support,translation_error_mm,rotation_error_deg
II,251,251,Trim,1,True,46.657961346290406,0.8787753627009742
II,252,252,Full,1,True,41.37505764620296,1.3729682257363272
II,252,252,Global,1,True,26.28935520053309,0.7946448255633857
II,252,252,Huber,1,True,43.75048246716626,0.6863078441723572
II,252,252,Patch,1,True,32.54027419379623,0.7723576852704026
II,252,252,Raw,1,True,43.05122730495862,0.7941349556395499
II,252,252,Trim,1,True,44.58545009145391,0.6775072404276977
II,253,253,Full,1,True,39.81987629901907,1.1598654130685706
II,253,253,Global,1,True,28.311098385386103,0.8884928639801051
II,253,253,Huber,1,True,43.88655668193705,0.7152774635650204
II,253,253,Patch,1,True,33.73284548341017,0.8329052107023642
II,253,253,Raw,1,True,44.522673764873055,0.8879386963671827
II,253,253,Trim,1,True,45.79826201310158,0.8277176962497429
II,254,254,Full,1,True,41.00059960514601,1.057759062971402
II,254,254,Global,1,True,28.13082060212217,0.6851561463368733
II,254,254,Huber,1,True,43.531959237934906,0.6395859179527663
II,254,254,Patch,1,True,33.68261991819367,0.5047365889528554
II,254,254,Raw,1,True,45.18314121737101,0.7344603518622776
II,254,254,Trim,1,True,44.11543045763696,0.6977467351130998
II,255,255,Full,1,True,49.05280215919814,1.0563333173784932
II,255,255,Global,1,True,31.58154385314344,1.0722081138909962
II,255,255,Huber,1,True,44.4687908618941,0.7377967823513741
II,255,255,Patch,1,True,38.93594705193085,0.8613260745757613
II,255,255,Raw,1,True,47.85938195109264,1.0722081138909842
II,255,255,Trim,1,True,44.70878901229827,0.8327779713380222
II,256,256,Full,1,True,42.2521509807527,1.3482639648425123
II,256,256,Global,1,True,32.28449145613534,0.9550520963786616
II,256,256,Huber,1,True,44.38449317992094,0.7106788354079193
II,256,256,Patch,1,True,35.208030305640214,0.7238923192299872
II,256,256,Raw,1,True,48.61291957580776,0.9476663485948452
II,256,256,Trim,1,True,45.5364254078036,0.7358573191328606
II,257,257,Full,1,True,40.17469576195199,1.1155280658969853
II,257,257,Global,1,True,32.01856693844201,1.105900879847939
II,257,257,Huber,1,True,44.55545620551595,0.8136472287315554
II,257,257,Patch,1,True,35.03860393380146,0.9076165543826256
II,257,257,Raw,1,True,48.71571230439984,1.105900879847944
II,257,257,Trim,1,True,44.93809217098226,0.8873488765150854
II,258,258,Full,1,True,43.09428031742932,0.919637118621772
II,258,258,Global,1,True,31.65226565061213,1.0758230462855491
