geometry,dtype,mag,form,n,et_med,et_lo,et_hi,eR_med,eR_lo,eR_hi,grad_med,grad_lo,grad_hi,on_bound
GA,D5_appendage_tilt,2.0,ls,20,0.10006974128485241,0.0922101165435265,0.109949411897708,1.4960844839000798,1.4955266066076902,1.5054249553475723,0.012902452464495201,0.012899839568267901,0.014116630233490801,0.0
GA,D5_appendage_tilt,2.0,trim,20,1.1736201106769268,1.1645023353759378,3.667573286859235,0.3434608219363624,0.34269035684612825,0.5159299677779289,,,,0.0
GB,CTRL_random_noise,2.0,huber,20,0.03942012043177865,0.0351922468785728,0.0566467064132568,0.0027013445620352,0.0020753673994211,0.00325546591967035,2.672951750167e-05,2.29154759417416e-05,3.0237716773571264e-05,0.0
GB,CTRL_random_noise,2.0,ls,20,0.03942012043177865,0.0351922468785728,0.0566467064132568,0.0027013445620352,0.0020753673994211,0.00325546591967035,5.345903500333994e-05,4.583066137408503e-05,6.0475349384216104e-05,0.0
GB,CTRL_random_noise,2.0,trim,20,0.04184516498225865,0.03609984151051675,0.0640767148750126,0.00302847031642305,0.0024596092790728,0.0035324814969683004,,,,0.0
GB,CTRL_random_noise,5.0,huber,20,0.11219961825060859,0.08335211874917076,0.1338484809439579,0.00616259577918665,0.00361564875356555,0.00715302683857225,5.639170705164355e-05,4.55400351273382e-05,5.915900667336097e-05,0.0
GB,CTRL_random_noise,5.0,ls,20,0.11390490829196365,0.0836037638611237,0.1334760870060682,0.0061812057699028,0.0036483128629947502,0.0072821564593235,0.0001136369266487,9.212677971428857e-05,0.0001186586676818,0.0
GB,CTRL_random_noise,5.0,trim,20,0.06854840579135126,0.053662056609492303,0.08855474701087784,0.00504793510482335,0.0034907941167644,0.0070548079337949005,,,,0.0
GB,CTRL_random_noise,10.0,huber,20,0.3087319200345009,0.28072007664078247,0.38286492543616013,0.01305219634823495,0.0087504174596644,0.01542005358793945,0.00012546102221235,0.00010858989260745,0.00013687320669065,0.0
GB,CTRL_random_noise,10.0,ls,20,0.3173538548536265,0.2877943363748796,0.45584268432720326,0.01282505532326635,0.0098636600636589,0.016414966549641252,0.0002794646265873,0.00024586726781035,0.000312578735368,0.0
GB,CTRL_random_noise,10.0,trim,20,0.2455673841701942,0.1410824938947867,0.34690049150775265,0.01144430309421705,0.0080363255072664,0.0172939879765376,,,,0.0
GB,CTRL_random_noise,25.0,huber,20,1.7183679805065881,1.400200390341999,1.9112574011017192,0.0515857711914516,0.0429286135228108,0.06071094603816275,0.0004135068528387,0.0003775837410863,0.00045567780445815,0.0
GB,CTRL_random_noise,25.0,ls,20,1.8401337908226276,1.6340469429543134,1.9255649964322588,0.048048601225895354,0.0407396689586265,0.0633081831224042,0.00100442890523765,0.0009505406393558,0.00105305670976395,0.0
