geometry,dtype,mag,unit,rep,kind,form,grad_gt,et_mm,eR_deg,J0,Jstar,dJ,on_bound,n_obs,condition
GA,D1_appendage_disp,0.0,mm,16,p2l,ls,3.8923464277163725e-05,0.0387655614926084,0.005575171418549987,4.044070184829221e-06,4.042980263389494e-06,1.0899214397270396e-09,0,38358,structured
GA,D1_appendage_disp,0.0,mm,17,p2p,ls,2.4016349647363415e-05,0.020861315901743754,0.0022364019702838444,1.202698121225976e-05,1.2025924055424925e-05,1.0571568348347109e-09,0,32274,structured
GA,D1_appendage_disp,0.0,mm,17,p2p,huber,1.2008174823682072e-05,0.020861315901743754,0.0022364019702838444,6.01349060612988e-06,1.2025924055424925e-05,-6.012433449295045e-06,0,32274,structured
GA,D1_appendage_disp,0.0,mm,17,p2p,trim,,0.03753043551004346,0.002716804787518416,8.095791835553987e-06,8.094080853587049e-06,1.7109819669383408e-09,0,32274,structured
GA,D1_appendage_disp,0.0,mm,17,p2l,ls,1.9942268298391235e-05,0.3316312546143788,0.004018743802145285,4.019522970969464e-06,4.0186858131297725e-06,8.371578396917755e-10,0,32274,structured
GA,D1_appendage_disp,0.0,mm,18,p2p,ls,4.231023683314188e-05,0.021380829918287336,0.0007708627430840744,1.1956155777992794e-05,1.1955648763056218e-05,5.070149365758345e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,18,p2p,huber,2.1155118416571135e-05,0.021380829918287336,0.0007708627430840744,5.978077888996396e-06,1.1955648763056218e-05,-5.977570874059822e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,18,p2p,trim,,0.027907735707297016,0.0007950846428609065,8.038607676670236e-06,8.037919406203115e-06,6.882704671207365e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,18,p2l,ls,3.357967956288304e-05,0.057044223728090676,0.004457265284460165,3.999899252576929e-06,3.99884237939884e-06,1.0568731780891239e-09,0,38358,structured
GA,D1_appendage_disp,0.0,mm,19,p2p,ls,4.181798816062736e-05,0.015427771409601398,0.0014089866032390356,1.1917893630184567e-05,1.191735056955405e-05,5.43060630517098e-10,0,38358,structured
GA,D1_appendage_disp,0.0,mm,19,p2p,huber,2.0908994080313543e-05,0.015427771409601398,0.0014089866032390356,5.958946815092283e-06,1.191735056955405e-05,-5.958403754461766e-06,0,38358,structured
GA,D1_appendage_disp,0.0,mm,19,p2p,trim,,0.03137619890957569,0.0015892081172151514,8.019632401234604e-06,8.018233661414992e-06,1.3987398196122451e-09,0,38358,structured
GA,D1_appendage_disp,0.0,mm,19,p2l,ls,1.6993701935526144e-05,0.04917865823764809,0.0022590360905798655,3.9835939774453715e-06,3.98311502629605e-06,4.789511493215537e-10,0,38358,structured
GA,D1_appendage_disp,2.0,mm,0,p2p,ls,0.002066584000437147,1.0765781621562245,0.004670133272225939,1.404048549799727e-05,1.2914826308863583e-05,1.1256591891336865e-06,0,38358,structured
GA,D1_appendage_disp,2.0,mm,0,p2p,huber,0.001033292000218573,1.0765781621562245,0.004670133272225939,7.020242748998633e-06,1.2914826308863583e-05,-5.89458355986495e-06,0,38358,structured
GA,D1_appendage_disp,2.0,mm,0,p2p,trim,,1.0576927160775178,0.004747683499900326,9.447764645123977e-06,8.71028177428639e-06,7.374828708375869e-07,0,38358,structured
GA,D1_appendage_disp,2.0,mm,0,p2l,ls,0.002044553956483473,1.5264808404539119,0.0016111757918967444,5.98205198971307e-06,4.426052069641966e-06,1.555999920071104e-06,0,38358,structured
