scan,fold,eR_deg_Huber,eR_deg_PatchFullFit,eR_deg_PatchHuberOOF,eR_deg_PatchOOF,eR_deg_Raw,et_mm_Huber,et_mm_PatchFullFit,et_mm_PatchHuberOOF,et_mm_PatchOOF,et_mm_Raw,iters_Huber,iters_PatchFullFit,iters_PatchHuberOOF,iters_PatchOOF,iters_Raw,on_bound_Huber,on_bound_PatchFullFit,on_bound_PatchHuberOOF,on_bound_PatchOOF,on_bound_Raw,benefit_oof,benefit_fullfit,benefit_ph,rot_change_oof,oof_minus_fullfit_error
332,4,3.1144491258554177,2.613477827186542,1.9206770646000515,2.6505032180652983,3.2580107809517056,154.0263392197743,113.63471223091013,94.4652378598135,114.25154618098188,165.30863182146277,40.0,31.0,40.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,51.05708564048089,51.67391959055264,59.56110135996079,0.6075075628864073,0.6168339500717508
333,4,2.754305872398044,2.7797232893479653,2.484964396493723,2.8447384336973114,2.7726143218286983,145.88222318130656,99.55045614693212,86.18475999857036,99.81255055352564,155.51411520437,40.0,40.0,40.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,55.70156465084436,55.96365905743788,59.6974631827362,-0.07212411186861312,0.2620944065935191
334,4,2.034598850313641,1.9508093277377652,1.864885921641396,1.960728169266518,2.171933975885345,147.03889234401228,101.74337140841708,87.48447103666074,102.5201737815082,156.30598999204085,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,53.785816210532644,54.562618583623774,59.55442130735155,0.21120580661882715,0.7768023730911295
335,4,1.7780782970312046,1.812729299078916,1.5595819945640883,1.833944392807742,2.052227458587955,148.47769818119332,105.38661196370091,87.62071052863658,105.7552155551268,158.57210821952847,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,52.81689266440168,53.18549625582756,60.85698765255674,0.21828306578021306,0.36860359142588095
336,4,3.586443134197669,3.099054611340029,2.7255493170048832,3.0767059561301933,3.8644443019668913,156.20104319676793,112.59753520155188,93.80173849177588,112.7958150779975,169.3486535785327,40.0,37.0,28.0,36.0,40.0,0.0,0.0,0.0,0.0,0.0,56.55283850053519,56.75111837698081,62.39930470499205,0.787738345836698,0.19827987644562484
337,4,3.547297125922258,2.7745495033869285,2.620825558333943,2.8308332693730884,3.888273849633516,158.77748713132362,114.07377919170308,96.68182221431375,114.32448905938836,171.02305603248018,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,56.69856697309183,56.9492768407771,62.09566491700987,1.0574405802604274,0.2507098676852735
338,4,3.253359279042595,2.552383447166976,2.277616749706664,2.601505513083509,3.676216092720478,158.45633826314335,112.4955314336716,97.0301892381761,112.89899599043412,170.52881439255833,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,57.629818402124215,58.03328295888673,61.426149024967245,1.0747105796369691,0.4034645567625148
339,4,2.6610711465415458,2.649461291086724,2.084310549244941,2.671011332276376,3.274370367027416,156.0184906831803,113.01802466223828,98.23426817326676,113.1287093929408,168.84566532510192,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,55.71695593216111,55.827640662863644,57.78422250991353,0.6033590347510396,0.11068473070253049
340,4,2.5041180511898062,2.408381478318302,1.7155938885590252,2.371677989355683,3.32189981669612,157.0689052266467,117.50069221933128,102.29800893821312,117.52568714875513,171.62110241327554,40.0,40.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,54.09541526452041,54.12041019394425,54.77089628843359,0.9502218273404366,0.024994929423840517
341,4,4.130704181234356,3.696964651090956,3.4393464911453497,3.799150899243177,4.232693399948831,159.13596453685707,117.12006828954232,104.61021796458247,117.46244495266406,171.16789055116132,40.0,35.0,40.0,34.0,40.0,0.0,0.0,0.0,0.0,0.0,53.70544559849726,54.047822261619004,54.5257465722746,0.4335425007056539,0.3423766631217404
