scan,fold,method,et_mm,eR_deg,iters,on_bound
52,0,PatchOOF,131.04932696096756,5.171555109215563,40,0
52,0,PatchHuberOOF,107.54086093268772,4.732823414400719,40,0
52,0,PatchFullFit,130.05145222265736,5.11284875218116,40,0
53,0,Raw,155.58155335010613,4.628116847973511,40,0
53,0,Huber,133.21084410069287,4.377410522675887,40,0
53,0,PatchOOF,123.35942747525125,5.621895059441889,40,0
53,0,PatchHuberOOF,102.76362773521684,5.652934502686903,40,0
53,0,PatchFullFit,122.54823037261663,5.592374948351854,40,0
54,0,Raw,150.46731700364728,5.295527247219523,40,0
54,0,Huber,129.55045912332292,4.916847179363095,40,0
54,0,PatchOOF,119.09892313637457,7.414763312037634,40,0
54,0,PatchHuberOOF,100.31899404071709,6.998155570372221,40,0
54,0,PatchFullFit,118.27272505311662,7.396426018356026,40,0
55,0,Raw,142.57764201744615,4.763187353634243,40,0
55,0,Huber,125.1735513672769,3.9734657194747105,40,0
55,0,PatchOOF,110.64711345431301,6.936691021602252,40,0
55,0,PatchHuberOOF,90.65891176977354,6.131548626022557,40,0
55,0,PatchFullFit,110.20735081719988,6.907566616926068,40,0
56,0,Raw,137.61304900585557,5.699576520651189,40,0
56,0,Huber,122.44882312109254,4.799469673245115,40,0
56,0,PatchOOF,109.70811381790129,6.456071632891982,26,0
56,0,PatchHuberOOF,85.66372583360416,5.423753260596444,40,0
56,0,PatchFullFit,109.18439003860479,6.4020357959058565,26,0
57,0,Raw,145.69532369131554,4.810300239660972,30,0
57,0,Huber,127.5615080552561,3.770102473647811,40,0
57,0,PatchOOF,110.86312817222765,6.238778220420216,29,0
57,0,PatchHuberOOF,83.31717008140055,4.617791610487254,40,0
57,0,PatchFullFit,110.31469837491838,6.196303883633497,35,0
58,0,Raw,150.79603783598554,5.376365136904817,40,0
58,0,Huber,130.76965828777162,4.705062178008356,40,0
58,0,PatchOOF,112.16366308313621,5.666140135736593,40,0
58,0,PatchHuberOOF,86.46931891139937,5.026381952777295,40,0
58,0,PatchFullFit,111.62986481662577,5.6804473758945635,40,0
59,0,Raw,153.42109707672154,3.6991886552110382,28,0
59,0,Huber,135.14272118212133,3.3006463440758282,40,0
59,0,PatchOOF,110.66932718576328,2.876886261703061,28,0
59,0,PatchHuberOOF,85.44450714441213,2.494851035330472,40,0
59,0,PatchFullFit,110.15400684305173,2.8525405862467195,31,0
60,0,Raw,151.02728276871946,3.9415224384993808,36,0
60,0,Huber,131.40607850915023,3.831526463601882,35,0
60,0,PatchOOF,107.6099817989822,3.371155855807206,29,0
60,0,PatchHuberOOF,76.55668044593716,3.036560394304248,40,0
60,0,PatchFullFit,107.72712561402184,3.5080277104362527,28,0
61,0,Raw,145.31683514011615,5.019911740001359,40,0
61,0,Huber,128.02727724983137,4.978979196325467,40,0
61,0,PatchOOF,100.21533028256006,5.337886204758423,40,0
61,0,PatchHuberOOF,70.24877968968694,4.324039977280109,40,0
61,0,PatchFullFit,99.74728357920203,5.294908830009082,40,0
62,0,Raw,134.2610933890281,4.229609413676352,26,0
62,0,Huber,122.16609568440958,3.7879309039872506,30,0
62,0,PatchOOF,85.57881833261138,4.37973621597651,32,0
62,0,PatchHuberOOF,63.22406342074717,3.392267519713145,25,0
62,0,PatchFullFit,85.13359717338902,4.275509596205863,29,0
63,0,Raw,142.68215970212273,5.010878828469688,40,0
63,0,Huber,125.74218020942293,4.362493665699415,40,0
63,0,PatchOOF,95.19463949942534,4.761304973966956,40,0
63,0,PatchHuberOOF,65.46039611822454,4.004424120327499,40,0
63,0,PatchFullFit,94.85088248803693,4.692396902249401,40,0
64,0,Raw,148.0058691357103,4.233671377329607,25,0
64,0,Huber,129.39541667208647,3.5764796253638833,40,0
64,0,PatchOOF,100.30422765624319,3.903717319761342,24,0
64,0,PatchHuberOOF,73.31097688008403,3.1843595476558684,26,0
64,0,PatchFullFit,100.01614500593956,3.859980100608464,24,0
65,0,Raw,149.94293559396587,5.015003059762866,40,0
65,0,Huber,131.0228526451071,4.537460739016119,40,0
65,0,PatchOOF,101.78493249488204,4.7113264087258155,40,0
65,0,PatchHuberOOF,77.65180135765199,4.164087307522618,40,0
65,0,PatchFullFit,101.24185170523997,4.700662559331128,40,0
66,0,Raw,151.4525736758377,3.3923678545018854,25,0
66,0,Huber,131.88153598865634,3.017014212374841,40,0
