trajectory,method,level,n,et_med,et_iqr,et_p25,et_p75,eR_med,eR_iqr,captureA_rate,captureB_rate,safeguard_rate,itercap_rate,numfail_rate,solvervalid_rate,posthoc,PatchRaw_gain_t_med,PatchRaw_frac_pos,PHHuber_gain_t_med,PHHuber_frac_pos
IV,Huber,L4,80,113.16602990289414,37.364472790112174,96.11755877414875,133.48203156426092,2.834714776676157,3.1281614796310118,0.225,0.0,0.0,0.9875,0.0,1.0,0,5.365606664794072,0.7125,-1.9981286550116124,0.4375
IV,Huber,L5,80,123.23786843741564,49.13148446268539,96.80110627004953,145.93259073273492,4.838119798178475,3.9219463185242356,0.925,0.0125,0.0,1.0,0.0,1.0,0,5.020140992069571,0.7,1.5760613591264558,0.5375
IV,Huber,L6,80,134.71323099549622,95.37734431629916,99.63086496485481,195.00820928115397,7.83960592340981,7.725630872552628,0.875,0.0,0.1625,0.8375,0.0,0.8375,0,4.691702822419472,0.675,0.3205582077818008,0.5125
IV,Patch,L0,20,140.36712311760618,20.326010499371165,132.76010227945002,153.0861127788212,1.844800775542723,1.4301519864690366,0.0,0.0,0.05,0.9,0.0,0.95,0,5.052362188655593,0.75,-2.9896762572625946,0.4
IV,Patch,L1,80,139.90256348788165,21.26664050105188,132.23961130063145,153.50625180168333,1.8256767250192025,1.479381969243886,0.0,0.0,0.075,0.9,0.0,0.925,0,5.013500465267299,0.725,-3.215504156208219,0.375
IV,Patch,L2,80,139.70994431410435,22.73525535557596,131.35799808584412,154.09325344142007,1.8139457525792677,1.4945755583097422,0.0,0.0,0.075,0.8875,0.0,0.925,0,5.171990561364922,0.7625,-3.6370834043895712,0.3875
IV,Patch,L3,80,140.3804363677885,23.960453738226988,131.05081084974523,155.01126458797222,2.017294153876027,1.6728416866374447,0.0,0.0,0.075,0.85,0.0,0.925,0,5.829543911270065,0.7625,-2.7562548958148554,0.4125
IV,Patch,L4,80,141.2137895345677,25.784254657716048,130.41644598903065,156.2007006467467,2.3929134369672993,2.4422229497076255,0.05,0.0,0.0875,0.9,0.0,0.9125,0,5.365606664794072,0.7125,-1.9981286550116124,0.4375
IV,Patch,L5,80,141.63421244059805,28.98530673917449,130.3815607691686,159.3668675083431,3.635005914579108,2.7688523225897286,0.9,0.0,0.1,0.9,0.0,0.9,0,5.020140992069571,0.7,1.5760613591264558,0.5375
IV,Patch,L6,80,143.8828404536895,40.928786461218465,130.75887332615963,171.6876597873781,4.969128819992467,5.587458352804994,0.8625,0.0,0.175,0.825,0.0,0.825,0,4.691702822419472,0.675,0.3205582077818008,0.5125
IV,PatchHuber,L0,20,109.88894939411,18.65912764220559,102.74085846358427,121.39998610578986,1.902119671971552,1.23416876983554,0.0,0.0,0.0,0.95,0.0,1.0,0,5.052362188655593,0.75,-2.9896762572625946,0.4
IV,PatchHuber,L1,80,110.45249870593034,15.862552199806075,104.5674392143323,120.42999141413837,1.979958792449232,1.3686312005953412,0.0,0.0,0.0,0.9875,0.0,1.0,0,5.013500465267299,0.725,-3.215504156208219,0.375
IV,PatchHuber,L2,80,112.13949294188086,18.41418974875924,102.77451348758358,121.18870323634282,2.1702048718898266,1.3581224616844887,0.0,0.0,0.0,1.0,0.0,1.0,0,5.171990561364922,0.7625,-3.6370834043895712,0.3875
IV,PatchHuber,L3,80,112.57701733434806,23.2570249036754,99.52755065177209,122.78457555544749,2.352426973566856,1.5316122032999209,0.0,0.0,0.0,1.0,0.0,1.0,0,5.829543911270065,0.7625,-2.7562548958148554,0.4125
IV,PatchHuber,L4,80,111.8294974647585,34.505182051599434,96.47569177742204,130.98087382902148,2.9494195292241963,2.698376400330006,0.225,0.0,0.0,1.0,0.0,1.0,0,5.365606664794072,0.7125,-1.9981286550116124,0.4375
IV,PatchHuber,L5,80,115.6202019960772,54.73643948064303,95.1894072585162,149.92584673915923,4.559723865357347,3.867484903370498,0.9125,0.0,0.0,1.0,0.0,1.0,0,5.020140992069571,0.7,1.5760613591264558,0.5375
IV,PatchHuber,L6,80,134.80142503320707,92.97957073550799,98.60873204107713,191.58830277658512,7.084082274068064,7.637238129609345,0.875,0.0,0.15,0.825,0.0,0.85,0,4.691702822419472,0.675,0.3205582077818008,0.5125
IV,Raw,L0,20,151.6428199864153,17.92030968813947,141.15740058169482,159.07771026983428,2.357152966784831,1.433191754438457,0.0,0.0,0.1,0.9,0.0,0.9,0,5.052362188655593,0.75,-2.9896762572625946,0.4
IV,Raw,L1,80,151.79427454229932,18.323201609435245,140.85734130393396,159.1805429133692,2.315567889825135,1.4435594122358635,0.0,0.0,0.1,0.9,0.0,0.9,0,5.013500465267299,0.725,-3.215504156208219,0.375
IV,Raw,L2,80,151.72828647788037,18.570616565757206,140.66592579283932,159.23654235859652,2.308037513528084,1.4862810704839688,0.0,0.0,0.1,0.8875,0.0,0.9,0,5.171990561364922,0.7625,-3.6370834043895712,0.3875
