trajectory,frame_id,method,perturbation_level,direction_id,translation_init_mm,rotation_init_deg,final_translation_error_mm,final_rotation_error_deg,iterations,termination_reason,hit_iteration_cap,hit_translation_boundary,hit_rotation_boundary,final_objective,ref_translation_error_mm,ref_rotation_error_deg,delta_init_t_mm,delta_init_r_deg,posthoc,safeguard,numerical_failure,solver_valid,capture_A,capture_B
II,385,Huber,L6,v3,300.0,15.0,57.83301672157561,1.995607186230428,40,cap,1,0,0,0.0008415060091799,51.95990545626039,0.9673787857154144,5.873111265315224,1.0282284005150135,0,0,0,1,True,False
II,385,Huber,L6,v4,300.0,15.0,51.285860261115474,0.9797333633266612,40,cap,1,0,0,0.0007569710213835,51.95990545626039,0.9673787857154144,-0.6740451951449131,0.0123545776112466,0,0,0,1,True,False
II,385,Patch,L4,v1,100.0,5.0,36.69226155603763,1.409116916025717,40,cap,1,0,0,0.005328584093186,35.219763759498925,0.5100105118871502,1.472497796538704,0.8991064041385671,0,0,0,1,True,True
II,385,Patch,L4,v2,100.0,5.0,32.49372046866583,0.3612737670126262,40,cap,1,0,0,0.0053348102035852,35.219763759498925,0.5100105118871502,-2.726043290833097,-0.1487367448745239,0,0,0,1,True,True
II,385,Patch,L4,v3,100.0,5.0,36.68003525624019,0.6763502202628747,40,cap,1,0,0,0.0053255646975137,35.219763759498925,0.5100105118871502,1.4602714967412638,0.1663397083757245,0,0,0,1,True,True
II,385,Patch,L4,v4,100.0,5.0,34.731365548956155,0.491916396179742,40,cap,1,0,0,0.0053264367325428,35.219763759498925,0.5100105118871502,-0.4883982105427691,-0.0180941157074081,0,0,0,1,True,True
II,385,Patch,L5,v1,200.0,10.0,37.35172173251736,2.424885275135237,40,cap,1,0,0,0.0053423808248546,35.219763759498925,0.5100105118871502,2.1319579730184373,1.9148747632480867,0,0,0,1,True,False
II,385,Patch,L5,v2,200.0,10.0,30.305393413713865,1.2664626615558154,40,cap,1,0,0,0.0053553606750024,35.219763759498925,0.5100105118871502,-4.914370345785059,0.7564521496686653,0,0,0,1,True,True
II,385,Patch,L5,v3,200.0,10.0,38.01943467834234,0.8970161341910243,40,cap,1,0,0,0.0053268060331425,35.219763759498925,0.5100105118871502,2.799670918843418,0.3870056223038741,0,0,0,1,True,True
II,385,Patch,L5,v4,200.0,10.0,34.15359586172815,0.5310469327928335,40,cap,1,0,0,0.005326884110252,35.219763759498925,0.5100105118871502,-1.0661678977707751,0.0210364209056833,0,0,0,1,True,True
II,385,Patch,L6,v1,300.0,15.0,38.30414191917486,4.500346256799983,40,cap,1,0,0,0.0054160664857924,35.219763759498925,0.5100105118871502,3.084378159675936,3.990335744912832,0,0,0,1,True,False
II,385,Patch,L6,v2,300.0,15.0,27.182183008625163,2.6086645730012106,40,cap,1,0,0,0.00540487014361,35.219763759498925,0.5100105118871502,-8.037580750873762,2.0986540611140603,0,0,0,1,True,False
II,385,Patch,L6,v3,300.0,15.0,39.47468752861271,1.1558940061124512,40,cap,1,0,0,0.0053302776892362,35.219763759498925,0.5100105118871502,4.2549237691137805,0.645883494225301,0,0,0,1,True,True
II,385,Patch,L6,v4,300.0,15.0,33.686758444368145,0.6226097387858679,40,cap,1,0,0,0.0053270668321524,35.219763759498925,0.5100105118871502,-1.5330053151307794,0.1125992268987177,0,0,0,1,True,True
II,385,PatchHuber,L4,v1,100.0,5.0,41.853128154757,2.5219049607037025,40,cap,1,0,0,0.0011117774406627,40.75735799361935,1.8901360671636376,1.0957701611376436,0.6317688935400649,0,0,0,1,True,False
II,385,PatchHuber,L4,v2,100.0,5.0,33.74792696970656,2.7168906015288443,40,cap,1,0,0,0.0011614978678066,40.75735799361935,1.8901360671636376,-7.009431023912789,0.8267545343652067,0,0,0,1,True,False
II,385,PatchHuber,L4,v3,100.0,5.0,46.53102119901992,1.7465388699631217,40,cap,1,0,0,0.0011073766654569,40.75735799361935,1.8901360671636376,5.773663205400567,-0.1435971972005161,0,0,0,1,True,True
II,385,PatchHuber,L4,v4,100.0,5.0,38.12509980103207,1.94131575620468,40,cap,1,0,0,0.001111020508144,40.75735799361935,1.8901360671636376,-2.63225819258728,0.0511796890410423,0,0,0,1,True,True
II,385,PatchHuber,L5,v1,200.0,10.0,41.29337768474168,4.498018457634134,40,cap,1,0,0,0.0011980238806945,40.75735799361935,1.8901360671636376,0.536019691122327,2.607882390470497,0,0,0,1,True,False
II,385,PatchHuber,L5,v2,200.0,10.0,26.68840716025443,5.731625042245162,40,cap,1,0,0,0.001331305428281,40.75735799361935,1.8901360671636376,-14.06895083336492,3.841488975081525,0,0,0,1,True,False
II,385,PatchHuber,L5,v3,200.0,10.0,51.91963417009848,1.5978797405268874,40,cap,1,0,0,0.0011253872584058,40.75735799361935,1.8901360671636376,11.162276176479132,-0.2922563266367501,0,0,0,1,True,False
II,385,PatchHuber,L5,v4,200.0,10.0,36.62046947835066,2.068516700718637,40,cap,1,0,0,0.0011106439239256,40.75735799361935,1.8901360671636376,-4.136888515268687,0.1783806335549995,0,0,0,1,True,False
II,385,PatchHuber,L6,v1,300.0,15.0,239.6579050729199,15.000000000000002,1,boundary,0,0,1,,40.75735799361935,1.8901360671636376,198.90054707930057,13.109863932836364,0,1,0,0,False,False
II,385,PatchHuber,L6,v2,300.0,15.0,235.03257127650403,15.000000000000002,1,boundary,0,0,1,,40.75735799361935,1.8901360671636376,194.2752132828847,13.109863932836364,0,1,0,0,False,False
II,385,PatchHuber,L6,v3,300.0,15.0,55.84338882439612,1.5015755049094417,40,cap,1,0,0,0.0011514547994574,40.75735799361935,1.8901360671636376,15.086030830776764,-0.3885605622541959,0,0,0,1,True,False
II,385,PatchHuber,L6,v4,300.0,15.0,34.77192146346908,2.285221116526117,40,cap,1,0,0,0.0011135150047304,40.75735799361935,1.8901360671636376,-5.985436530150274,0.3950850493624795,0,0,0,1,True,False
II,449,Raw,L4,v1,100.0,5.0,57.451804698625104,1.6610256424337602,40,cap,1,0,0,0.0042343537138635,57.120428131246406,1.214969511379727,0.3313765673786975,0.4460561310540332,0,0,0,1,True,False
II,449,Raw,L4,v2,100.0,5.0,56.53054637228279,0.965050771448093,40,cap,1,0,0,0.0042372954476558,57.120428131246406,1.214969511379727,-0.5898817589636138,-0.2499187399316339,0,0,0,1,True,False
II,449,Raw,L4,v3,100.0,5.0,57.27758396648438,1.3151904697915755,40,cap,1,0,0,0.0042322948260429,57.120428131246406,1.214969511379727,0.1571558352379725,0.1002209584118485,0,0,0,1,True,False
II,449,Raw,L4,v4,100.0,5.0,57.052183790323696,1.1856050550739594,40,cap,1,0,0,0.0042324626880544,57.120428131246406,1.214969511379727,-0.0682443409227104,-0.0293644563057675,0,0,0,1,True,False
II,449,Raw,L5,v1,200.0,10.0,57.74731280656295,2.3660269255324216,40,cap,1,0,0,0.0042427662894603,57.120428131246406,1.214969511379727,0.6268846753165462,1.1510574141526946,0,0,0,1,True,False
II,449,Raw,L5,v2,200.0,10.0,56.16666962587522,1.104685373704917,40,cap,1,0,0,0.0042466935222598,57.120428131246406,1.214969511379727,-0.9537585053711836,-0.11028413767481,0,0,0,1,True,False
II,449,Raw,L5,v3,200.0,10.0,57.5224008470688,1.7179990854425709,40,cap,1,0,0,0.0042347613357133,57.120428131246406,1.214969511379727,0.4019727158223887,0.5030295740628439,0,0,0,1,True,False
II,449,Raw,L5,v4,200.0,10.0,57.00330134878988,1.163642979014783,40,cap,1,0,0,0.0042325871806313,57.120428131246406,1.214969511379727,-0.1171267824565305,-0.0513265323649438,0,0,0,1,True,False
II,449,Raw,L6,v1,300.0,15.0,57.30308197573456,3.9265709528594055,40,cap,1,0,0,0.0042864355413077,57.120428131246406,1.214969511379727,0.1826538444881578,2.7116014414796785,0,0,0,1,True,False
II,449,Raw,L6,v2,300.0,15.0,55.15009153302538,1.7655429575308197,40,cap,1,0,0,0.0042709164395084,57.120428131246406,1.214969511379727,-1.9703365982210244,0.5505734461510925,0,0,0,1,True,False
II,449,Raw,L6,v3,300.0,15.0,57.8009631095192,1.9476925662211173,40,cap,1,0,0,0.004236778501891,57.120428131246406,1.214969511379727,0.6805349782727959,0.7327230548413906,0,0,0,1,True,False
II,449,Raw,L6,v4,300.0,15.0,56.92239320656356,1.1475459704541675,40,cap,1,0,0,0.0042328294177331,57.120428131246406,1.214969511379727,-0.1980349246828439,-0.0674235409255594,0,0,0,1,True,False
II,449,Huber,L4,v1,100.0,5.0,45.72822527990466,1.5635882554556186,40,cap,1,0,0,0.0006762375522104,45.31476862619471,1.200402560940757,0.4134566537099573,0.3631856945148617,0,0,0,1,True,True
II,449,Huber,L4,v2,100.0,5.0,44.79003697023429,1.2479800897114064,40,cap,1,0,0,0.0006891735024274,45.31476862619471,1.200402560940757,-0.5247316559604158,0.0475775287706494,0,0,0,1,True,True
II,449,Huber,L4,v3,100.0,5.0,45.93772013161998,1.3270085912376597,40,cap,1,0,0,0.0006743841870674,45.31476862619471,1.200402560940757,0.6229515054252772,0.1266060302969025,0,0,0,1,True,True
II,449,Huber,L4,v4,100.0,5.0,45.16253557082305,1.1792555455926077,40,cap,1,0,0,0.0006701384400452,45.31476862619471,1.200402560940757,-0.1522330553716528,-0.0211470153481492,0,0,0,1,True,True
II,449,Huber,L5,v1,200.0,10.0,46.309536366228045,3.098831852149732,40,cap,1,0,0,0.0007175228453784,45.31476862619471,1.200402560940757,0.994767740033339,1.8984292912089744,0,0,0,1,True,False
II,449,Huber,L5,v2,200.0,10.0,43.05514119930575,2.367921470949143,40,cap,1,0,0,0.0007485695272694,45.31476862619471,1.200402560940757,-2.2596274268889545,1.1675189100083865,0,0,0,1,True,False
II,449,Huber,L5,v3,200.0,10.0,46.72233813050848,1.6262633707771614,40,cap,1,0,0,0.0006808738477816,45.31476862619471,1.200402560940757,1.407569504313777,0.4258608098364045,0,0,0,1,True,True
