method,et_mm,eR_deg,g_corr_gt,J_raw_gt,J_raw_final,iters,traj,order,scan,view,ndist,in_support,nearest_d
M4_patch_corr,86.01497908994179,2.759674770975633,0.025633126219467017,0.008334693096789712,0.005885935879759532,38,iii,8,8,oracle,2.336853298356153,False,2.336853298356153
M5_full_corr,61.97564756828901,2.242014172476261,0.017086636690691822,0.008334693096789712,0.006277548011032923,40,iii,8,8,oracle,2.336853298356153,False,2.336853298356153
M0_raw_p2p,112.47938224994843,2.0635590381319826,0.04885971321164376,0.008105999182919276,0.005350060851536994,40,iii,9,9,oracle,2.319184343424167,False,2.319184343424167
M1_raw_p2l,115.13286852184841,2.3644625361963505,0.046407567566974096,0.008105999182919276,0.005391776298741026,40,iii,9,9,oracle,2.319184343424167,False,2.319184343424167
M2_raw_huber,91.00585152692372,1.46845917908086,0.02588964792174834,0.008105999182919276,0.005547581612639315,40,iii,9,9,oracle,2.319184343424167,False,2.319184343424167
M3_global_corr,104.78804047201162,2.061334505154407,0.03967722150333111,0.008105999182919276,0.0055013088374189145,40,iii,9,9,oracle,2.319184343424167,False,2.319184343424167
M4_patch_corr,86.51759382477066,3.1094619998854633,0.023327080106445453,0.008105999182919276,0.005854774870040002,40,iii,9,9,oracle,2.319184343424167,False,2.319184343424167
M5_full_corr,63.0205216320347,2.784450511236344,0.015019525690760503,0.008105999182919276,0.00622091099552069,40,iii,9,9,oracle,2.319184343424167,False,2.319184343424167
M0_raw_p2p,106.04362609930821,1.9735489071152812,0.045101064662593664,0.007954448017299186,0.005533159012500047,40,iii,10,10,oracle,2.301165328404146,False,2.301165328404146
M1_raw_p2l,106.8866679055332,2.3012326850870415,0.03976085691246085,0.007954448017299186,0.005565840228217449,40,iii,10,10,oracle,2.301165328404146,False,2.301165328404146
M2_raw_huber,86.74570309961723,1.4465804322039753,0.02301836314782009,0.007954448017299186,0.005725334998018947,40,iii,10,10,oracle,2.301165328404146,False,2.301165328404146
M3_global_corr,99.34385279756265,1.9668123219694773,0.03791848777578973,0.007954448017299186,0.005695397598991386,40,iii,10,10,oracle,2.301165328404146,False,2.301165328404146
M4_patch_corr,79.20350288955102,3.144753550709194,0.020279769776666307,0.007954448017299186,0.006041889606555757,40,iii,10,10,oracle,2.301165328404146,False,2.301165328404146
M5_full_corr,56.060043267612734,2.4759314823720793,0.01350114888040417,0.007954448017299186,0.006433652392613079,40,iii,10,10,oracle,2.301165328404146,False,2.301165328404146
M0_raw_p2p,108.94247805636788,2.0421062817126576,0.0451671773194279,0.00788249679459827,0.005471208429567303,40,iii,11,11,oracle,2.2837240170447473,False,2.2837240170447473
M1_raw_p2l,107.90517361379007,2.1009565062432394,0.04363079695699161,0.00788249679459827,0.00550178382552292,40,iii,11,11,oracle,2.2837240170447473,False,2.2837240170447473
M2_raw_huber,87.43634075108186,1.4494034572563337,0.023622728112637964,0.00788249679459827,0.005665576048129897,40,iii,11,11,oracle,2.2837240170447473,False,2.2837240170447473
M3_global_corr,102.17573180978935,2.0424562420301404,0.03617051183599866,0.00788249679459827,0.00563436214753403,40,iii,11,11,oracle,2.2837240170447473,False,2.2837240170447473
M4_patch_corr,83.17760237600157,3.2518868537046073,0.020112564728178944,0.00788249679459827,0.005965016912955879,40,iii,11,11,oracle,2.2837240170447473,False,2.2837240170447473
M5_full_corr,58.407190303892186,2.603900398232851,0.01318747871671798,0.00788249679459827,0.0064631089167936735,40,iii,11,11,oracle,2.2837240170447473,False,2.2837240170447473
M0_raw_p2p,129.55552025904993,6.646681966282603,0.07224141525640912,0.16146286823531023,0.1555607229794999,40,iii,12,12,oracle,2.2665960894290764,False,2.2665960894290764
M1_raw_p2l,143.4117107468336,0.0,0.14739174321249923,0.16146286823531023,0.1608626407206509,1,iii,12,12,oracle,2.2665960894290764,False,2.2665960894290764
M2_raw_huber,87.09802279269259,1.5137117046934125,0.029278768185959588,0.16146286823531023,0.15780418452150743,40,iii,12,12,oracle,2.2665960894290764,False,2.2665960894290764
M3_global_corr,118.36265562215792,6.645442536176847,0.06073475952263487,0.16146286823531023,0.15574431826950993,40,iii,12,12,oracle,2.2665960894290764,False,2.2665960894290764
M4_patch_corr,105.46228316509627,8.242485774329122,0.048340420393970886,0.16146286823531023,0.1559892960412454,36,iii,12,12,oracle,2.2665960894290764,False,2.2665960894290764
M5_full_corr,89.720432553746,7.693680047006833,0.03838747657206917,0.16146286823531023,0.1565080299427534,31,iii,12,12,oracle,2.2665960894290764,False,2.2665960894290764
M0_raw_p2p,119.9743575973556,3.90612106067359,0.055408127093871454,0.06702258962319846,0.06331117794326906,40,iii,13,13,oracle,2.249650475267596,False,2.249650475267596
M1_raw_p2l,166.65224813683068,12.50163669270193,0.07110928793630139,0.06702258962319846,0.06993229170695346,4,iii,13,13,oracle,2.249650475267596,False,2.249650475267596
