kind,form,real,g_gt,et_mm,eR_deg,J_gt,J_star,dJ,iters,traj,order,scan,ndist,in_support,block,n
p2l,trim,0,3.489447796638035e-06,0.0,0.0,,0.0,,2,iii,2,2,2.410787416132602,False,0,9224
p2p,ls,1,0.04451183616234163,103.43658297443832,2.208967320236248,0.007141769329905736,0.004657543246278111,0.0024842260836276248,40,iii,3,3,2.4104424244366762,False,0,9167
p2p,ls,0,7.4830811361663e-06,5.594987467379873e-14,9.837248951089017e-15,,1.4819647115033342e-31,,2,iii,3,3,2.4104424244366762,False,0,9167
p2p,huber,1,0.02077564585329624,83.99655571260178,1.7929391909092292,0.0018469174942120806,0.0010359243687089587,0.0008109931255031219,40,iii,3,3,2.4104424244366762,False,0,9167
p2p,huber,0,3.741540568083197e-06,5.594987467379873e-14,9.837248951089017e-15,,1.4819647115033342e-31,,2,iii,3,3,2.4104424244366762,False,0,9167
p2p,trim,1,0.026910552118998173,79.88227567186046,1.5116217546656237,0.0016153350463800615,0.0003938097242249067,0.0012215253221551548,40,iii,3,3,2.4104424244366762,False,0,9167
p2p,trim,0,1.0037307143295656e-05,5.921133701402563e-14,1.0210139407751193e-14,,5.507477172089386e-32,,2,iii,3,3,2.4104424244366762,False,0,9167
p2l,ls,1,0.040834343027117095,106.27442464787259,2.4035132617128374,0.006582226519996795,0.004265163058775505,0.0023170634612212897,40,iii,3,3,2.4104424244366762,False,0,9167
p2l,ls,0,1.1652945629374467e-05,0.0,0.0,,0.0,,2,iii,3,3,2.4104424244366762,False,0,9167
p2l,huber,1,0.01643199966660512,83.37299711127214,1.5498356202800674,0.0016070799081705739,0.0008948820251245588,0.000712197883046015,40,iii,3,3,2.4104424244366762,False,0,9167
p2l,huber,0,5.8264728146873155e-06,0.0,0.0,,0.0,,2,iii,3,3,2.4104424244366762,False,0,9167
p2l,trim,1,0.022038483776840624,78.68735815102805,1.124325000663354,0.001297938867714193,0.0002805968584066203,0.0010173420093075728,23,iii,3,3,2.4104424244366762,False,0,9167
p2l,trim,0,1.3840908664662988e-05,0.0,0.0,,0.0,,2,iii,3,3,2.4104424244366762,False,0,9167
p2p,ls,1,0.04681435947150345,114.55928253657531,2.1733531951142715,0.007832362062959298,0.0049238388517525876,0.0029085232112067106,40,iii,4,4,2.4060899998539815,False,0,9306
p2p,ls,0,2.5057735186913295e-05,6.218445317332135e-14,1.3241126852058117e-14,,1.6224604931158365e-31,,2,iii,4,4,2.4060899998539815,False,0,9306
p2p,huber,1,0.019749561153826298,94.87795501742065,1.8480920134430654,0.0021298790324132304,0.0011570961419268425,0.0009727828904863879,40,iii,4,4,2.4060899998539815,False,0,9306
p2p,huber,0,1.2528867593456868e-05,6.218445317332135e-14,1.3241126852058117e-14,,1.6224604931158365e-31,,2,iii,4,4,2.4060899998539815,False,0,9306
p2p,trim,1,0.027561018435525927,89.70982676669938,1.6073820340062452,0.0018653840643304464,0.0004326698755675409,0.0014327141887629056,40,iii,4,4,2.4060899998539815,False,0,9306
p2p,trim,0,3.1046728409883985e-05,7.374615341657058e-14,5.865146004391262e-15,,1.4231382329728788e-31,,2,iii,4,4,2.4060899998539815,False,0,9306
p2l,ls,1,0.044499653327023374,117.30071072514342,2.3363309287610345,0.007205089879511077,0.004532291273076466,0.0026727986064346114,40,iii,4,4,2.4060899998539815,False,0,9306
p2l,ls,0,1.1838421465974794e-05,0.0,0.0,,0.0,,2,iii,4,4,2.4060899998539815,False,0,9306
p2l,huber,1,0.017536663987079114,94.09453125431955,1.5248360738353661,0.0018402412371897568,0.0009679682138866171,0.0008722730233031397,40,iii,4,4,2.4060899998539815,False,0,9306
